Name	Bullet	Length	Base	Shoulder	Neck
6.5 x 50 SR Arisaka	6.705 (.264)	50.39 (1.984)	11.35 (.447)	10.59 (.417)	7.34 (.289)
6.5 x 53.5 R Dutch Mannlicher	6.756 (.266)	53.59 (2.110)	11.48 (.453)	10.75 (.423)	7.55 (.297)
6.5x54 mm Mannlicher-Schönauer	6.705 (.264)	53.65 (2.112)	11.47 (.452)	10.87 (.428)	7.56 (.288)
6.5x55mm Swedish (aka 6.5x55mm Krag)	6.7 (.264)	54.864 (2.16)	12.17 (.479)	10.688 (.420)	7.468 (.294)
6.5x58 mm Vergueiro	6.65 (.262)	57.85 (2.278)	11.88 (.468)	10.94 (.431)	7.56 (.298)
6.5 x 68	6.70 (.264)	75.02 (2.956)	13.30 (.524)	12.18 (.480)	7.60 (.299)
6.5-284	6.70 (.264)	55.118 (2.170)	12.725 (.501)	12.065 (.475)	7.544 (.297)
.260 Remington	6.70 (.264)	51.7 (2.035)	11.9 (.470)	11.5 (.454)	7.5 (.297)
6.5 mm Creedmoor	6.70 (.264)	48.8 (1.924)	11.9 (.470)	11.7 (.459)	7.54 (.297)
6.5x47mm Lapua	6.70 (.264)	47 (1.9)	11.95 (.470)	11.53 (.454)	7.41 (.292)
6.5 mm Grendel	6.70 (.264)	38.7 (1.524)	11.14 (.439)	10.87 (.428)	7.44 (.293)
.264 Win Magnum	6.70 (.264)	64 (2.5)	13.1 (.515)	12.5 (.491)	7.6 (.299)
6.5 x 52 mm Carcano	6.80 (.268)	52.50 (2.067)	11.42 (.450)	10.85 (.427)	7.52 (.296)
