Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
3-01	27	S02E01	Pre-inked Stamps	Cranberries	Cotton Yarn	Road Signs
3-02	28	S02E02	Combination Locks	Pottery	s Recreational Vehicle	s Eraser
3-03	29	S02E03	Wheel Loaders	Vegetable Oil	Hand Tools	Cotton Swabs
3-04	30	S02E04	Temporary Metal Fences	Asphalt Shingles	Expanded Polystyrene Products	Hard Candies
3-05	31	S02E05	s Horse-drawn Carriage	Artificial Eyes	Dog and Cat Food	s Mirror
3-06	32	S02E06	Yogurt	Candles	Neon Signs	s Bookbinding
3-07	33	S02E07	Prepared Mustard	s Violin	Nuts and Bolts	Toilet Paper
3-08	34	S02E08	Fresh Cut Flowers	Adhesive Tape	Tofu	s Lottery Ticket
3-09	35	S02E09	Inflatable Watercraft	Couscous	Modelling Dough	Wicker Products
3-10	36	S02E10	Wind Generators	PVC Gloves	Thermo-formed Glass	Fire Trucks
3-11	37	S02E11	Car Radiators	Hatchery Chicks	Phyllo Dough	Cross-country Skis
3-12	38	S02E12	Electric Baseboard Heaters	ed Mould Pulp Containers	Chicken	s Video Game
