Round	Pick #	Overall	Name	Position
1	9	9	Bubba Bean	Running Back
2	8	36	Sonny Collins	Running Back
3	11	71	Dave Scott	Guard
4	10	102	Walt Brett	Defensive End
6	13	169	Stan Varner	Defensive Tackle
7	11	193	Karl Farmer	Wide Receiver
8	10	219	Frank Reed	Washington
9	9	246	Phil McKinnely	Offensive Tackle
11	11	302	Chuck Brislin	Offensive Tackle
12	10	329	Pat Bolton	Kicker
13	9	356	Mike Williams	Offensive Tackle
14	8	383	Mark Husfloen	Defensive End
15	11	414	Ron Olson	Defensive Back
16	10	441	Pat Curto	Linebacker
17	9	468	Tony Green	Defensive Back
