Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus
Porth Harlequins RFC	20	0	3	642	173	100	19	12
St. Joseph's RFC	20	0	3	503	179	69	17	9
Pontyclun RFC	20	1	5	468	218	66	24	7
Deri RFC	20	0	6	476	285	65	33	7
St. Albans RFC	20	0	9	402	423	58	61	7
Cowbridge RFC	20	0	12	329	379	37	54	3
Old Penarthians RFC	20	0	11	231	369	29	53	2
Penygraig RFC	20	1	13	260	436	30	63	2
Ogmore Vale RFC	20	0	14	208	475	27	71	2
Canton RFC	20	0	16	248	499	34	67	3
Dinas Powys RFC	20	0	17	161	492	20	73	1
Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008	Correct as of 18:13 26 May 2008
