Station No.	Station Name	Chinese Name	Travel Time (hrs)	Distance (km)	Transfers	Location ( District )
1301	Xizhimen	西直门 xīzhímén	0:00	0.0	Line2 Line4 Beijing North	Xicheng
1302	Dazhongsi Big Bell Temple	大钟寺 dàzhōngsì	0:03	2.8	—	Haidian
1303	Zhichunlu Zhichun Rd.	知春路 zhīchūnlù	0:05	4.0	Line10	Haidian
1304	Wudaokou	五道口 wǔdàokǒu	0:08	5.9	—	Haidian
1305	Shangdi	上地 shàngdì	0:13	10.8	—	Haidian
1306	Xierqi	西二旗 xīèrqí	0:16	13.2	Changping	Haidian
1307	Longze	龙泽 lóngzé	0:21	17.0	—	Changping
1308	Huilongguan	回龙观 huílónguān	0:24	18.4	—	Changping
1309	Huoying	霍营 huòyíng	0:28	20.5	Line8	Changping
1310	Lishuiqiao Lishui Bridge	立水桥 lìshuǐqiáo	0:33	25.3	Line5	Chaoyang
1311	Beiyuan	北苑 běiyuán	0:36	27.6	—	Chaoyang
1312	Wangjing West	望京西 wàngjīngxī	0:44	34.3	Line15	Chaoyang
1313	Shaoyaoju	芍药居 sháoyàojū	0:47	36.5	Line10	Chaoyang
1314	Guangximen	光熙门 guāngxīmén	0:49	37.6	—	Chaoyang
1315	Liufang	柳芳 lǐufāng	0:51	38.7	—	Chaoyang
1316	Dongzhimen	东直门 dōngzhímén	0:53	40.5	Line2 Airport	Dongcheng
