Pick #	MLS team	Player	Position	Affiliation
37	Vancouver Whitecaps FC	Bilal Duckett	Defender	University of Notre Dame
38	New York Red Bulls	Billy Cortes	Defender	University of Maryland
39	New England Revolution	Steven Perry	Forward	University of Notre Dame Indiana Invaders
40	Chivas USA	Jon Okafor	Midfielder	Brown University Central Jersey Spartans
42	New England Revolution	Ryan Kinne	Midfielder	Monmouth University Central Jersey Spartans
43	Toronto FC	Matt Gold	Defender	Ohio State University
45	Chicago Fire	Jason Herrick	Forward	University of Maryland
46	Sporting Kansas City	Konrad Warzycha	Midfielder	Ohio State University
47	Seattle Sounders FC	Alex Caskey	Midfielder	Davidson College Atlanta Blackhawks
48	Columbus Crew	Bernardo Anor	Midfielder	University of South Florida Bradenton Academics
49	Toronto FC	Joao Plata	Midfielder	LDU Quito
50	D.C. United	Joe Willis	Goalkeeper	University of Denver Real Colorado Foxes
51	Chicago Fire	Davis Paul	Forward	University of California, Berkeley
52	Real Salt Lake	Jarad Van Schaik	Midfielder	University of Portland
53	FC Dallas	Scott Gordon	Defender	Lynn University Baton Rouge Capitals
