Place	Player	Country	Score	To par
1	Tiger Woods	United States	67	−5
2	Pádraig Harrington	Ireland	68	−4
T3	Robert Allenby	Australia	69	−3
T3	Mathew Goggin	Australia	69	−3
T3	Hunter Mahan	United States	69	−3
T3	Álvaro Quirós	Spain	69	−3
T3	Vijay Singh	Fiji	69	−3
T3	David Toms	United States	69	−3
T9	Michael Bradley	United States	70	−2
T9	Ben Crane	United States	70	−2
T9	Gonzalo Fernández-Castaño	Spain	70	−2
T9	Paul Goydos	United States	70	−2
T9	Søren Kjeldsen	Denmark	70	−2
T9	Graeme McDowell	Northern Ireland	70	−2
T9	Thongchai Jaidee	Thailand	70	−2
T9	Lee Westwood	England	70	−2
