Year	Population (Region total)	Population (Bundaberg)	Population (Gooburrum)	Population (Woongarra)	Population (Isis)	Population (Kolan)
1921	20,731	9,276	2,922	2,513	3,500	2,520
1933	25,387	11,466	3,915	3,287	3,778	2,941
1947	29,237	15,926	3,825	3,345	3,639	2,502
1954	34,531	19,951	4,131	3,704	4,243	2,502
1961	37,968	22,839	4,372	4,149	3,951	2,657
1966	41,444	25,402	4,776	4,934	3,718	2,614
1971	43,332	27,324	4,519	5,150	3,666	2,673
1976	51,084	30,456	5,227	8,791	3,926	2,684
1981	52,444	30,937	5,261	9,865	4,023	2,358
1986	55,990	31,427	5,917	11,915	4,082	2,649
1991	64,188	32,737*	7,117	16,491	4,825	3,018
1996	73,846	42,554	21,218	21,218	5,878	4,196
2001	77,323	43,146	23,598	23,598	6,045	4,534
2006	84,434	45,901	27,232	27,232	6,663	4,638
