Place	Player	Country	Score	To par	Money ( $ )
1	Olin Dutra	United States	76-74-71-72=293	+13	1,000
2	Gene Sarazen	United States	73-72-73-76=294	+14	750
T3	Harry Cooper	England United States	76-74-74-71=295	+15	400
T3	Wiffy Cox	United States	71-75-74-75=295	+15	400
T3	Bobby Cruickshank	Scotland	71-71-77-76=295	+15	400
T6	Billy Burke	United States	76-71-77-72=296	+16	300
T6	Macdonald Smith	Scotland United States	75-73-78-70=296	+16	300
T8	Tom Creavy	United States	79-76-78-66=299	+19	116
T8	Ralph Guldahl	United States	78-73-70-78=299	+19	116
T8	Jimmy Hines	United States	80-70-77-72=299	+19	116
T8	Johnny Revolta	United States	76-73-77-73=299	+19	116
