Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 6, 1981	at Cincinnati Bengals	L 21-27	Riverfront Stadium	0-1	41177
2	September 13, 1981	Denver Broncos	W 13-10	Kingdome	1-1	58513
3	September 20, 1981	at Oakland Raiders	L 10-20	Oakland-Alameda County Coliseum	1-2	45725
4	September 27, 1981	Kansas City Chiefs	L 14-20	Kingdome	1-3	59255
5	October 4, 1981	at San Diego Chargers	L 10-24	Jack Murphy Stadium	1-4	51463
6	October 11, 1981	at Houston Oilers	L 17-35	The Astrodome	1-5	42671
7	October 18, 1981	New York Giants	L 0-32	Kingdome	1-6	56134
8	October 25, 1981	at New York Jets	W 19-13	Shea Stadium	2-6	49678
9	November 1, 1981	at Green Bay Packers	L 24-34	Lambeau Field	2-7	49467
10	November 8, 1981	Pittsburgh Steelers	W 24-21	Kingdome	3-7	59058
11	November 16, 1981	San Diego Chargers	W 44-23	Kingdome	4-7	58628
12	November 22, 1981	at Kansas City Chiefs	L 13-40	Arrowhead Stadium	4-8	49002
13	November 29, 1981	Oakland Raiders	L 31-32	Kingdome	4-9	57147
14	December 6, 1981	New York Jets	W 27-23	Kingdome	5-9	53105
15	December 13, 1981	at Denver Broncos	L 13-23	Mile High Stadium	5-10	74527
