Player	Starts	Cuts made	Best finish	Money list rank	Earnings ($)
Brian Davis	23	15	T3	98	854460
Rob Rashell	25	6	T39	219	84391
Danny Briggs	29	7	T9	208	148836
Paul Claxton	29	11	T15	183	269701
Sean O'Hair	29	24	Win	18	2461482
Bill Glasson	21	7	T18	214	108426
Greg Owen	24	19	3	57	1352878
John Elliott	25	6	T39	221	67819
Roland Thatcher	26	12	T8	173	326299
Jason Bohn	28	18	Win	35	1888568
D. J. Trahan	28	14	9/T9 (twice)	103	806304
Matt Davidson	20	6	T14	218	98906
Jason Allred	29	8	T17	204	176436
D. J. Brigman	26	12	T12	177	294849
Phillip Price	25	13	11	157	419415
Dean Wilson	27	17	6	102	821903
Carl Paulson	13	6	T13	195	198214
Jeff Brehaut	23	13	3	61	1271061
Joey Snyder III	31	20	4	72	1042696
Jim Carter	25	6	T26	216	104138
Hideto Tanihara	20	6	T31	224	62832
Mario Tiziani	23	11	T12	200	181618
Omar Uresti	27	16	T6	136	538238
Bob Heintz	24	9	T5	171	355488
David Hearn	24	10	13	196	197453
Craig Barlow	26	15	T8	112	720362
Doug Barron	24	11	T3	110	731190
Tom Gillis	28	12	T11	156	421050
Mark Wilson	25	12	T3	133	573218
Lucas Glover	28	16	Win	30	2050068
Charlie Wi	23	11	T5	186	250081
Jeff Hart	23	13	T25	209	135165
Scott Hend	28	9	T6	170	356427
J. P. Hayes	22	10	T2	138	531704
