Season	Episode	Episode Summary	Premier date	External Link	Coach
10	1	Angelica is made into a pageant queen.	February 21, 2009	Full Episode	Yolanda Makle
10	2	Carrie is made into a power girlie girl.	February 21, 2009	Full Episode	Hitha Prabhaker
10	5	Erin is made into a boxer.	March 14, 2009	Full Episode	Kenny Porter
10	6	Wyatt is made into a boxer.	April 4, 2009	Full Episode	Melissa Hernández
10	7	Matthew is made into a boxer.	April 4, 2009	Full Episode	Patrick Cross
10	8	Jessica is made into a rockstar.	April 11, 2009	Full Episode	Josh Ocean
10	9	Gracie is made into a punk rocker.	April 11, 2009	Full Episode	Josh Bertrand
10	10	Alicia is made into a cheerleader.	April 18, 2009	Full Episode	Trisia Brown
10	11	Heather is made into a rapper.	April 18, 2009	Full Episode	Quest Mcody
10	12	Scott is made into a ladies man.	May 7, 2009	Full Episode	Shane and Shawn Ward
10	13	Hannah is made into a rapper.	May 14, 2009	Full Episode	Chiba
10	14	Kristy is made into a prom queen.	May 11, 2009	Full Episode	Ashley Litton
10	15	Kaitlin is made into a motocross racer.	May 28, 2009	Full Episode	Malcolm McCassy
10	16	Amanda is made into a dancer.	June 4, 2009	Full Episode	Asia
10	17	Ethan is made into a ladies man.	June 12, 2009	Full Episode	No Limit Larry
10	18	Sarah is made into a beauty queen.	June 27, 2009	Full Episode	Rocky Graziano
10	19	Becca is made into a pro wrestler	September 6, 2009	Full Episode	A.J. Styles
10	20	Carter is made into a body builder.	September 12, 2009	Full episode	Doug Dolphin
10	21	Kyra is made into a pageant queen.	September 6, 2009	Full Episode	Shilah Phillips
10	22	Lisa is made into a Latin dancer.	September 12, 2009	Full Episode	Maritza Reveron
10	23	Shatara is made into a pageant queen.	September 6, 2009	Full Episode	Beaux Wellborn
10	24	Manny is made into a ladies man.	September 6, 2009	Full Episode	Deborah Denise Trachtenberg
10	26	Deshunae is made into a volleyball player.	September 12, 2009	Full Episode	Cherelle Lampkins
10	29	Alex is made into a ladies man.	January 2, 2010	Full Episode	Dr. Tiye
10	30	Brittany is made into a pageant queen.	January 2, 2010	Full Episode	Lakisha Brooks
10	32	Cameron is made into a motocross racer.	May 20, 2010	Full Episode	Greg Schnell
10	34	Amanda is made into an independent woman.	May 18, 2010	Full Episode	Julie Marie Carrier
10	35	Raine is made into a figure skater.	May 1, 2010	Full Episode	Craig Joeright
10	36	Mikey wants to be made into a baseball player.	May 1, 2010	Full Episode	Coach Jeremy
10	37	Breland is made into a basketball player.	May 1, 2010	Full Episode	Cedric Ceballos
10	38	Ashley is made into a snowboarder.	May 1, 2010	Full Episode	Jesse Csincsak
10	39	Mikala is made into a ballroom dancer.	August 16, 2010	Full Episode	Ashle Dawson
