District	Counties Represented	Delegate	Party	First Elected	Committee
21	Anne Arundel , Prince George's	Frush, Barbara A. Barbara A. Frush	Democratic	1994	Environmental Matters
21	Anne Arundel, Prince George's	Barnes, Ben Ben Barnes	Democratic	2006	Judiciary
21	Anne Arundel, Prince George's	Joseline Pena-Melnyk	Democratic	2006	Health and Government Operations
30	Anne Arundel	Busch, Michael E. Michael E. Busch	Democratic	1986	The Speaker of the House of Delegates
30	Anne Arundel	Clagett, Virginia P. Virginia P. Clagett	Democratic	1994	Environmental Matters
30	Anne Arundel	George, Ron Ron George	Republican	2006	Ways and Means
31	Anne Arundel	Kipke, Nic Nic Kipke	Republican	2002	Health and Government Operations
31	Anne Arundel	Dwyer, Donald H. Jr. Donald H. Dwyer, Jr.	Republican	2006	Judiciary
31	Anne Arundel	Schuh, Steve Steve Schuh	Republican	2006	Appropriations
32	Anne Arundel	Beidle, Pamela Pamela Beidle	Democratic	2006	Environmental Matters
32	Anne Arundel	Love, Mary Ann Mary Ann Love	Democratic	1993	Economic Matters
32	Anne Arundel	Sophocleus, Theodore J. Ted Sophocleus	Democratic	1992	Appropriations
33.1 33A	Anne Arundel	King, James James King	Republican	2006	Economic Matters
33.1 33A	Anne Arundel	McConkey, Tony Tony McConkey	Republican	2002	Judiciary
33.2 33B	Anne Arundel	Costa, Robert A. Robert A. Costa	Republican	2002	Health and Government Operations
