Spoofed Title	Actual Title	Writer	Artist	Issue	Date
Taxing	Taxi	Stan Hart	Angelo Torres	212	January 1980
The White, Shadowed	The White Shadow	Lou Silverstone	Angelo Torres	214	April 1980
Diff'rent Jokes	Diff'rent Strokes	Arnie Kogen	Angelo Torres	215	June 1980
Bentson	Benson	Tom Koch	Angelo Torres	216	July 1980
The Crockford Files	The Rockford Files	Lou Silverstone	Angelo Torres	217	September 1980
WKRAP in Cincinnati	WKRP in Cincinnati	Arnie Kogen	Angelo Torres	218	October 1980
The Dopes of Haphazzard	The Dukes of Hazzard	Dick DeBartolo	Angelo Torres	219	December 1980
Queezy	Quincy, M.E.	Lou Silverstone	Angelo Torres	220	January 1981
Crapper John, M.D.	Trapper John, M.D.	Stan Hart	Jack Davis	221	March 1981
That's Real Incredible, People!	Real People / That's Incredible!	Dick DeBartolo	Angelo Torres	222	April 1981
Dullus	Dallas	Lou Silverstone	Mort Drucker	223	June 1981
Har To Har	Hart to Hart	Lou Silverstone	Angelo Torres	224	July 1981
Too Gross For Comfort	Too Close for Comfort	Stan Hart	Angelo Torres	226	October 1981
Magnumb, P.U.	Magnum, P.I.	Lou Silverstone	Mort Drucker	227	December 1981
Starchie Bonker's Place	Archie Bunker's Place	Arnie Kogen	Mort Drucker	228	January 1982
Family Fools	Family Feud	Dick DeBartolo	Angelo Torres	229	March 1982
DeGenerate Hospital	General Hospital	Lou Silverstone	Mort Drucker	230	April 1982
Swill Street Blues	Hill Street Blues	Tom Koch	Angelo Torres	231	June 1982
The Greatest American Zero	The Greatest American Hero	Lou Silverstone	Mort Drucker	232	July 1982
The Brawl Guy	The Fall Guy	Dick DeBartolo	Angelo Torres	233	September 1982
M*U*S*H	M*A*S*H	Arnie Kogen	Jack Davis	234	October 1982
20/30 with Barbara Waltzers	20/20 with Barbara Walters	Dick DeBartolo	Mort Drucker	234	October 1982
The Yaks of Life	The Facts of Life	Tom Koch	Angelo Torres	235	December 1982
Private Benjurmind	Private Benjamin	Larry Siegel	Angelo Torres	238	April 1983
Simple & Simple	Simon & Simon	Lou Silverstone Dick DeBartolo	Mort Drucker	239	June 1983
Give Us A Break!	Gimme a Break!	Dick DeBartolo	Angelo Torres	240	July 1983
Knut Rider	Knight Rider	Dick DeBartolo	Angelo Torres	241	September 1983
Square Dregs	Square Pegs	Arnie Kogen	Mort Drucker	241	September 1983
The A(sinine) Team	The A-Team	Stan Hart	Mort Drucker	242	October 1983
T.S. Shnooker	T.J. Hooker	Lou Silverstone	Angelo Torres	243	December 1983
Asinine to Five	Nine to Five	Dick DeBartolo	Angelo Torres	244	January 1984
Not-So-New-Hart	Newhart	Arnie Kogen	Angelo Torres	245	March 1984
Matt Houstink	Matt Houston	Dick DeBartolo	Angelo Torres	246	April 1984
Remington Steal	Remington Steele	Lou Silverstone	Angelo Torres	248	July 1984
Beers	Cheers	Arnie Kogen	Angelo Torres	249	September 1984
Scaredcrow and Mrs. Kling	Scarecrow and Mrs. King	Dick DeBartolo	Angelo Torres	250	October 1984
Web Star	Webster	Larry Siegel	Angelo Torres	251	December 1984
Family Tides	Family Ties	Larry Siegel	Mort Drucker	252	January 1985
Hardhassle and McCorny	Hardcastle and McCormick	Dick DeBartolo	Angelo Torres	252	January 1985
Rip-Off-Tide	Riptide	Lou Silverstone	Angelo Torres	254	April 1985
The Clodsby Show	The Cosby Show	Larry Siegel	Angelo Torres	255	June 1985
Mike Hammy	Mike Hammer	Dick DeBartolo	Sam Viviano	255	June 1985
Die-Nasty	Dynasty	Lou Silverstone	Mort Drucker	256	July 1985
Mate & Ali-mony	Kate and Allie	Dennis Snee	Mort Drucker	257	September 1985
Gigglin's Island	Gilligan's Island	Larry Siegel	Sam Viviano	259	December 1985
Nut Court	Night Court	Larry Siegel	Angelo Torres	259	December 1985
The Crummymooners	The Honeymooners	Larry Siegel	Sam Viviano	260	January 1986
Miami Price	Miami Vice	Lou Silverstone	Mort Drucker	261	March 1986
Murder She Hopes	Murder, She Wrote	Dick DeBartolo	Angelo Torres	261	March 1986
Highway to Heaving	Highway to Heaven	Dick DeBartolo	Mort Drucker	262	April 1986
Reprieve it for Beaver	Leave it to Beaver	Dennis Snee	Angelo Torres	262	April 1986
The Olden Girls	The Golden Girls	Arnie Kogen	Angelo Torres	263	June 1986
Moon-Fighting	Moonlighting	Dick DeBartolo	Mort Drucker	264	July 1986
Groaning Pains	Growing Pains	Lou Silverstone Dick DeBartolo	Angelo Torres	266	October 1986
We'll Make a Fortune	Wheel of Fortune	Dick DeBartolo	Harvey Kurtzman Will Elder	266	October 1986
Boob's the Boss?	Who's the Boss?	Dennis Snee	Mort Drucker	266	October 1986
Grabme & Spacey	Cagney and Lacey	Dick DeBartolo	Angelo Torres	267	December 1986
I Love Luny	I Love Lucy	Lou Silverstone	Angelo Torres	269	March 1987
Perfectly Strange	Perfect Strangers	Dick DeBartolo	Angelo Torres	270	April 1987
The Tranquilizer	The Equalizer	Dick DeBartolo	Angelo Torres	271	June 1987
ARFul	ALF	Dick DeBartolo	Mort Drucker	272	July 1987
