Municipality	Population	Area km²	Density Population per km²	Area	County	-
Oslo	590041	426	1300	Oslo	Oslo	Greater Oslo
Lørenskog	32894	67	455	Inner Circle North	Akershus	Greater Oslo
Nittedal	21008	179	109	Inner Circle North	Akershus	Greater Oslo
Rælingen	15611	56	263	Inner Circle North	Akershus	Greater Oslo
Skedsmo	47945	75	552	Inner Circle North	Akershus	Greater Oslo
Enebakk	10205	195	47	Inner Circle South	Akershus	Greater Oslo
Nesodden	17380	61	264	Inner Circle South	Akershus	Greater Oslo
Oppegård	24917	34	687	Inner Circle South	Akershus	Greater Oslo
Ski	28120	162	164	Inner Circle South	Akershus	Greater Oslo
Bærum	111637	189	547	Inner Circle West	Akershus	Greater Oslo
Aurskog-Høland	14380	894	15	Outer Circle North	Akershus	Greater Oslo
Eidsvoll	20781	385	48	Outer Circle North	Akershus	Greater Oslo
Fet	10312	137	69	Outer Circle North	Akershus	Greater Oslo
Gjerdrum	5843	82	61	Outer Circle North	Akershus	Greater Oslo
Hurdal	2625	261	10	Outer Circle North	Akershus	Greater Oslo
Nannestad	10982	324	31	Outer Circle North	Akershus	Greater Oslo
Nes	18022	609	29	Outer Circle North	Akershus	Greater Oslo
Sørum	15475	200	64	Outer Circle North	Akershus	Greater Oslo
Ullensaker	29296	250	95	Outer Circle North	Akershus	Greater Oslo
Lunner	8640	272	31	Outer Circle North	Oppland	Greater Oslo
Asker	54890	91	522	Outer Circle West	Akershus	Greater Oslo
Hurum	9055	156	56	Outer Circle West	Buskerud	Greater Oslo
Røyken	18960	111	154	Outer Circle West	Buskerud	Greater Oslo
Frogn	14667	85	155	Outer Circle South	Akershus	Greater Oslo
Vestby	14398	134	96	Outer Circle South	Akershus	Greater Oslo
Ås	16411	101	142	Outer Circle South	Akershus	Greater Oslo
Askim	14894	66	212	Outer Circle South	Østfold	Greater Oslo
Eidsberg	10807	229	44	Outer Circle South	Østfold	Greater Oslo
Hobøl	4774	239	17	Outer Circle South	Østfold	Greater Oslo
Marker	3471	368	9	Outer Circle South	Østfold	Greater Oslo
Rømskog	676	159	4	Outer Circle South	Østfold	Greater Oslo
Skiptvet	3546	93	36	Outer Circle South	Østfold	Greater Oslo
Spydeberg	5186	133	35	Outer Circle South	Østfold	Greater Oslo
Trøgstad	5092	188	26	Outer Circle South	Østfold	Greater Oslo
Moss	30093	58	478	Moss Region	Østfold	Moss Region
Rygge	14315	70	196	Moss Region	Østfold	Moss Region
Råde	6846	105	61	Moss Region	Østfold	Moss Region
Våler	4472	239	17	Moss Region	Østfold	Moss Region
Drammen	62815	135	420	Drammen Region	Buskerud	Drammen Region
Lier	23356	281	77	Drammen Region	Buskerud	Drammen Region
Nedre Eiker	22709	114	188	Drammen Region	Buskerud	Drammen Region
Øvre Eiker	16350	418	37	Drammen Region	Buskerud	Drammen Region
Hof	3061	149	20	Drammen Region	Vestfold	Drammen Region
Holmestrand	10059	84	113	Drammen Region	Vestfold	Drammen Region
Sande	8348	174	44	Drammen Region	Vestfold	Drammen Region
Svelvik	6478	56	115	Drammen Region	Vestfold	Drammen Region
