Outcome	Date	Tournament	Surface	Opponent	Score
Runner–up	July 13, 2009	USA F17, Peoria	Clay	Michael Venus	7–6 (7–4) , 4–6, 4–6
Winner	September 26, 2009	Italy F29, Alghero	Hard	Francesco Piccari	6–3, 6–7 (5–7) , 6–3
Winner	October 3, 2009	Italy F30, Quartu Sant'Elena	Hard	Matteo Viola	6–1, 6–2
Winner	November 1, 2009	Mexico F12, Obregón	Hard	Daniel Garza	7–6 (7–0) , 6–3
Winner	November 8, 2009	Mexico F14, Guadalajara	Clay	César Ramírez	6–2, 6–2
Runner–up	February 22, 2010	USA F5, Brownsville	Hard	Víctor Estrella	4–6, 3–6
Winner	March 21, 2010	Canada F3, Sherbrooke	Hard (i)	Milos Raonic	6–4, 4–6, 6–3
Winner	September 5, 2010	Mexico F6, León	Hard	David Rice	6–1, 6–2
Winner	September 12, 2010	Mexico F7, Guadalajara	Hard	Adam El Mihdawy	6–0, 6–1
Winner	October 3, 2010	Canada F5, Markham	Hard (i)	Nicholas Monroe	6–3, 6–2
Winner	May 29, 2011	Korea F2, Changwon	Hard	Lim Yong-Kyu	7–5, 6–4
Winner	July 31, 2011	Canada F4, Saskatoon	Hard	Érik Chvojka	7–5, 6–2
Winner	March 25, 2012	Rimouski , Canada	Hard (i)	Maxime Authom	7–6 (8–6) , 6–4
Winner	July 22, 2012	Granby , Canada	Hard	Igor Sijsling	7–6 (7–2) , 6–4
Runner–up	March 18, 2013	Rimouski , Canada	Hard (i)	Rik de Voest	6–7 (6–8) , 4–6
Winner	May 4, 2013	Johannesburg , South Africa	Hard	Michał Przysiężny	6–7 (7–9) , 6–0, 4–1 ret.
Winner	August 4, 2013	Vancouver , Canada	Hard	Daniel Evans	6–0, 1–6, 7–5
