Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	70	1:28:24.803	6
Rubens Barrichello	Ferrari	70	+5.108	7
Jenson Button	BAR - Honda	70	+20.409	2
Giancarlo Fisichella	Sauber - Petronas	69	+1 Lap	11
Kimi Räikkönen	McLaren - Mercedes	69	+1 Lap	8
David Coulthard	McLaren - Mercedes	69	+1 Lap	9
Timo Glock	Jordan - Ford	68	+2 Laps	16
Nick Heidfeld	Jordan - Ford	68	+2 Laps	15
Christian Klien	Jaguar - Cosworth	67	+3 Laps	10
Zsolt Baumgartner	Minardi - Cosworth	66	+4 Laps	18
Felipe Massa	Sauber - Petronas	62	Accident	17
Takuma Sato	BAR - Honda	48	Engine	20
Fernando Alonso	Renault	44	Driveshaft	5
Gianmaria Bruni	Minardi - Cosworth	30	Gearbox	19
Mark Webber	Jaguar - Cosworth	6	Suspension	14
Jarno Trulli	Renault	0	Transmission	3
Ralf Schumacher	Williams - BMW	70	Disqualified	1
Juan Pablo Montoya	Williams - BMW	70	Disqualified	4
Cristiano da Matta	Toyota	69	Disqualified	12
Olivier Panis	Toyota	69	Disqualified	13
