Club	City	Stadium	Capacity	2007–08 season
A.C. Cesena	Cesena	Stadio Dino Manuzzi	23,860	22nd in Serie B
U.S. Cremonese	Cremona	Stadio Giovanni Zini	22,000	2nd in Serie C1/A
Calcio Lecco 1912	Lecco	Stadio Rigamonti-Ceppi	4,977	16th in Serie C1/A
A.C. Legnano	Legnano	Stadio Giovanni Mari	6,600	7th in Serie C1/A
A.C. Lumezzane	Lumezzane	Nuovo Stadio Comunale	4,150	Serie C2/A Play-off Winners
A.C. Monza Brianza 1912	Monza	Stadio Brianteo	18,568	8th in Serie C1/A
Novara Calcio	Novara	Stadio Silvio Piola	8,810	9th in Serie C1/A
Calcio Padova	Padua	Stadio Euganeo	32,336	6th in Serie C1/A
U.S. Pergocrema 1932	Crema	Stadio Giuseppe Voltini	3,490	Serie C2/A Champions
Calcio Portogruaro Summaga	Portogruaro	Stadio Pier Giovanni Mecchia	3,335	Serie C2/B Play-off Winners
Pro Patria	Busto Arsizio	Stadio Carlo Speroni	3,990	14th in Serie C1/A
A.C. Pro Sesto	Sesto San Giovanni	Stadio Breda	4,500	11th in Serie C1/A
Ravenna Calcio	Ravenna	Stadio Bruno Benelli	12,020	20th in Serie B
A.C. Reggiana 1919	Reggio Emilia	Stadio Giglio	29,546	Serie C2/B Champions
S.S. Sambenedettese Calcio	San Benedetto del Tronto	Stadio Riviera delle Palme	22,000	12th in Serie C1/B
SPAL 1907	Ferrara	Stadio Paolo Mazza	19,000	4th in Serie C2/B
S.S.C. Venezia	Venice	Stadio Pierluigi Penzo	10,500	12th in Serie C1/A
Hellas Verona F.C.	Verona	Stadio Marcantonio Bentegodi	39,211	17th in Serie C1/A
