Round	Pick	Overall	Name	Position	College
1	9	9	Cal Rossi [a ]	RB	UCLA
3	9	24	Stan Kozlowski	FB	Holy Cross
5	9	39	Gay Adelt	RB	Utah
6	9	49	Walt Trojanowski	RB	Connecticut
7	9	59	Bob Hendren	OT	Southern California
8	9	69	George Callanan	RB	Southern California
9	9	79	Bob Skoglund	E	Notre Dame
10	9	89	Jake Leicht	HB	Oregon
11	9	99	Chick Maggioli	DB	Illinois
12	9	109	Monte Moncrief	OT	Texas A&M
13	9	119	Joe Tereshinski	DE	Georgia
14	9	129	Stan Sprague	E	Illinois
15	9	139	Harry Adelman	E	Southern California
16	9	149	Bob Butchofsky	RB	Texas A&M
17	9	159	Mike Prashaw	OT	Michigan
18	9	169	Ed Robnett	FB	Texas Tech
19	9	179	LeMar Dykstra	RB	Colorado
20	9	189	Bob Ward	RB	San José State
21	9	199	John Pehar	OT	Southern California
22	9	209	Roger Robinson	DB	Syracuse
23	9	219	Charley Cadenhead	C	Mississippi State
24	9	229	Bob Rados	G	Santa Clara [d ]
25	9	239	Charlie Webb	E	Louisiana State
26	9	249	Marion Flanagan	RB	Texas A&M
27	9	259	Roland Phillips	OT	Georgia Tech
28	9	269	Jim Hallmark	RB	Texas A&M
29	9	279	Fay Mills	OT	Alabama
30	9	289	William Ritter	RB	Georgia Tech
31	4	294	Sarkis Takesian	RB	California
32	4	299	Mike Campbell	E	Mississippi
