Game	Date	Opponent	Score	Location	Record
3	Fri. Nov. 2	Chicago Bulls	96-82	FleetCenter	2-1
4	Sat. Nov. 3	@ Milwaukee Bucks	99-105	Bradley Center	2-2
5	Wed. Nov. 7	Washington Wizards	104-95	FleetCenter	3-2
6	Fri. Nov. 9	Seattle SuperSonics	104-94	FleetCenter	4-2
7	Wed. Nov. 14	Indiana Pacers	101-93	FleetCenter	5-2
8	Sat. Nov. 17	@ Atlanta Hawks	103-112	Philips Arena	5-3
9	Wed. Nov. 21	Atlanta Hawks	85-92	FleetCenter	5-4
10	Fri. Nov. 23	Toronto Raptors	89-91	FleetCenter	5-5
11	Sat. Nov. 24	@ Washington Wizards	84-88 (OT)	MCI Center	5-6
12	Tue. Nov. 27	@ Miami Heat	84-83	American Airlines Arena	6-6
13	Thu. Nov. 29	@ Orlando Magic	99-89	TD Waterhouse Centre	7-6
