Rank	Fastest time (s)	Wind (m/s)	Athlete	Country	Date	Location
1	10.19	+0.5	Yoshihide Kiryu	Japan	3 November 2012	Fukuroi
2	10.23	+0.8	Tamunosiki Atorudibo	Nigeria	23 March 2002	Enugu
2	10.23	+1.2	Rynell Parson	United States	21 June 2007	Indianapolis
4	10.24	+0.0	Darrel Brown	Trinidad and Tobago	14 April 2001	Bridgetown
5	10.25	+1.5	J-Mee Samuels	United States	11 July 2004	Knoxville
5	10.25	+1.6	Jeff Demps	United States	1 August 2007	Knoxville
7	10.26	+1.2	Deworski Odom	United States	21 July 1994	Lisboa
7	10.26	−0.1	Sunday Emmanuel	Nigeria	18 March 1995	Bauchi
9	10.27	+0.2	Henry Thomas	United States	19 May 1984	Norwalk
9	10.27	+1.6	Curtis Johnson	United States	30 June 1990	Fresno
9	10.27	+1.0	Ivory Williams	United States	8 June 2002	Sacramento
