Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	65-69-71-67=272	–12	800,000
T2	Miguel Ángel Jiménez	Spain	66-74-76-71=287	+3	391,150
T2	Ernie Els	South Africa	74-73-68-72=287	+3	391,150
4	John Huston	United States	67-75-76-70=288	+4	212,779
T5	Lee Westwood	England	71-71-76-71=289	+5	162,526
T5	Pádraig Harrington	Ireland	73-71-72-73=289	+5	162,526
7	Nick Faldo	England	69-74-76-71=290	+6	137,203
T8	Vijay Singh	Fiji	70-73-80-68=291	+7	112,766
T8	Stewart Cink	United States	77-72-72-70=291	+7	112,766
T8	David Duval	United States	75-71-74-71=291	+7	112,766
T8	Loren Roberts	United States	68-78-73-72=291	+7	112,766
