Rank	Place	County	Per Capita Income	Median House- hold Income	Median Family Income	Population	Number of Households
1	Tesuque	Santa Fe County	$52,473	$76,029	$80,043	909	455
2	Taos Ski Valley	Taos County	$43,143	$67,708	$103,422	56	32
3	Los Ranchos de Albuquerque	Bernalillo County	$40,883	$60,500	$77,150	5,092	1,997
4	White Rock	Los Alamos County	$36,288	$92,813	$96,716	6,045	2,226
5	Placitas	Sandoval County	$36,243	$60,597	$71,696	3,452	1,485
6	Corona	Lincoln County	$34,987	$28,594	$33,438	165	81
7	Los Alamos	Los Alamos County	$34,240	$71,536	$86,876	11,909	5,110
8	Corrales	Sandoval County	$33,629	$67,217	$79,331	7,334	2,819
9	Eldorado at Santa Fe	Santa Fe County	$33,107	$70,051	$76,930	5,799	2,438
10	Angel Fire	Colfax	$29,614	$48,250	$56,125	1,048	462
11	Galisteo	Santa Fe County	$27,719	$45,324	$45,735	265	119
12	Cedar Crest	Bernalillo County	$27,263	$50,865	$62,054	1,060	470
13	Carlsbad North	Eddy County	$27,192	$52,361	$69,135	1,245	484
14	Chupadero	Santa Fe County	$26,915	$59,231	$58,077	318	125
15	Yah-ta-hey	McKinley County	$26,307	$51,023	$53,203	580	156
16	Mesilla	Doña Ana County	$25,922	$42,275	$51,181	2,180	892
17	Cañada de los Alamos	Santa Fe County	$25,707	$44,231	$50,682	358	153
18	Santa Fe	Santa Fe County	$25,454	$40,392	$49,705	62,203	27,569
19	Santa Teresa	Doña Ana County	$24,561	$61,500	$66,833	2,607	952
20	House	Quay County	$24,300	$25,625	$35,000	72	34
21	Virden	Hidalgo County	$23,184	$29,375	$46,250	143	48
22	Jaconita	Santa Fe County	$22,888	$41,667	$61,875	343	147
23	Ruidoso	Lincoln County	$22,721	$37,107	$44,846	7,698	3,434
24	Grenville	Union County	$21,536	$54,375	$58,125	25	9
25	Elephant Butte	Sierra County	$21,345	$31,705	$37,344	1,390	689
26	Cloudcroft	Otero County	$21,301	$40,795	$52,292	749	320
27	Ranchos de Taos	Taos County	$20,988	$28,750	$32,045	2,390	984
28	Albuquerque	Bernalillo County	$20,884	$38,272	$46,979	448,607	183,236
29	Rio Rancho	Sandoval County	$20,322	$47,169	$52,223	51,765	18,995
30	Bosque Farms	Valencia County	$20,317	$44,055	$49,688	3,931	1,422
31	Flora Vista	San Juan County	$20,189	$46,157	$46,071	1,383	504
32	Tse Bonito	McKinley County	$20,187	$38,077	$38,365	261	78
33	Madrid	Santa Fe County	$20,025	$21,905	$7,386	149	82
34	El Valle de Arroyo Seco	Santa Fe County	$19,712	$33,056	$42,344	1,149	407
35	La Jara	Sandoval County	$19,691	$39,444	$46,406	209	93
36	Causey	Roosevelt County	$19,663	$37,083	$37,083	52	19
37	Glorieta	Santa Fe County	$19,564	$36,250	$46,429	859	315
38	Jemez Springs	Sandoval County	$19,522	$36,818	$36,042	375	113
39	North Valley	Bernalillo County	$19,398	$39,888	$45,129	11,923	4,467
40	Cuyamungue	Santa Fe County	$18,887	$43,958	$47,969	421	154
41	Tijeras	Bernalillo County	$18,836	$34,167	$46,250	474	191
42	Cundiyo	Santa Fe County	$18,722	$48,654	$48,654	95	39
43	Carnuel	Bernalillo County	$18,553	$37,813	$46,250	872	371
44	Rio Communities	Valencia County	$18,260	$33,125	$39,205	4,213	1,762
45	Boles Acres	Otero County	$18,207	$39,048	$51,029	1,172	463
46	Farmington	San Juan County	$18,167	$37,663	$42,605	37,844	13,982
47	Edgewood	Santa Fe County	$18,146	$42,500	$45,952	1,893	676
48	Eagle Nest	Colfax County	$17,974	$36,477	$38,750	306	141
49	Red River	Taos County	$17,883	$31,667	$39,792	484	234
50	Dora	Roosevelt County	$17,831	$38,333	$40,417	130	43
51	Rio Communities North	Valencia County	$17,745	$46,773	$46,471	1,588	550
52	Roy	Harding County	$17,651	$21,111	$41,667	304	150
53	Lake Sumner	De Baca County	$17,590	$25,250	$29,167	86	44
54	Cuartelez	Santa Fe County	$17,445	$33,906	$27,426	452	165
55	El Rancho	Santa Fe County	$17,353	$31,450	$33,958	817	310
56	La Cienega	Santa Fe County	$17,329	$38,028	$46,578	3,007	1,033
57	Chimayo	Rio Arriba County	$17,023	$31,474	$35,938	2,924	1,150
58	Sombrillo	Santa Fe County	$16,809	$47,000	$46,125	493	179
59	Lamy	Santa Fe County	$16,765	$43,333	$27,083	137	55
60	Chama	Rio Arriba County	$16,670	$30,513	$31,983	1,199	467
61	Valencia	Valencia County	$16,620	$40,521	$47,745	4,500	1,553
62	Cedar Grove	Santa Fe County	$16,585	$42,750	$47,560	599	224
63	La Puebla	Santa Fe County	$16,582	$29,107	$34,833	1,296	492
64	Carlsbad	Eddy County	$16,496	$30,658	$35,640	27,463	10,154
65	Des Moines	Union County	$16,255	$27,321	$40,833	177	72
66	White Sands	Doña Ana County	$16,186	$43,500	$47,750	1,323	432
67	Los Chaves	Valencia County	$16,092	$38,228	$40,896	5,033	1,764
68	Taos	Taos County	$15,983	$25,016	$33,564	4,700	2,067
69	Gallup	McKinley County	$15,789	$34,868	$39,197	20,209	6,810
70	Las Cruces	Doña Ana County	$15,704	$30,375	$37,670	74,267	29,184
71	Clovis	Curry County	$15,561	$28,878	$33,622	32,667	12,458
72	Williamsburg	Sierra County	$15,549	$23,750	$27,679	527	264
73	Peralta	Valencia County	$15,511	$38,039	$39,605	3,750	1,314
74	Pena Blanca	Sandoval County	$15,401	$24,063	$28,214	661	226
75	La Luz	Otero County	$15,258	$28,625	$29,719	1,615	648
76	Algodones	Sandoval County	$15,214	$39,792	$42,813	688	236
77	Capitan	Lincoln County	$15,062	$27,188	$32,115	1,443	605
78	Tome-Adelino	Valencia County	$14,871	$27,361	$32,708	2,211	780
79	San Ysidro	Sandoval County	$14,787	$30,521	$32,188	238	86
80	Tucumcari	Quay County	$14,786	$22,560	$27,468	5,989	2,489
81	Aztec	San Juan County	$14,750	$33,110	$39,509	6,378	2,330
82	Los Lunas	Valencia County	$14,692	$36,240	$37,255	10,034	3,601
83	Alamogordo	Otero County	$14,662	$30,928	$35,673	35,582	13,704
84	Radium Springs	Doña Ana County	$14,660	$33,167	$34,083	1,518	544
85	Hatch	Doña Ana County	$14,619	$21,250	$23,819	1,673	538
86	Reserve	Catron County	$14,612	$24,750	$30,536	387	177
87	Springer	Colfax County	$14,606	$27,850	$34,563	1,285	520
88	Roswell	Chaves County	$14,589	$27,252	$31,724	45,293	17,068
89	Bloomfield	San Juan County	$14,424	$32,905	$34,760	6,417	2,222
90	Truth or Consequences	Sierra County	$14,415	$20,986	$28,750	7,289	3,450
91	Eunice	Lea County	$14,373	$31,722	$38,808	2,562	942
92	Jal, New Mexico	Lea County	$14,354	$30,848	$35,500	1,996	743
93	Española	Rio Arriba County	$14,303	$27,144	$32,255	13,213	5,751
94	Cimarron	Colfax County	$14,248	$27,875	$30,677	917	382
95	Raton	Colfax County	$14,223	$27,028	$31,762	7,282	3,035
96	Los Cerrillos	Santa Fe County	$14,215	$13,661	$31,161	229	111
97	Hobbs	Lea County	$14,209	$28,100	$33,017	28,657	10,040
98	Grants	Cibola County	$14,053	$30,652	$33,464	8,806	3,202
99	Kirtland	San Juan County	$14,053	$45,000	$45,491	6,190	1,822
100	Agua Fria	Santa Fe County	$14,023	$32,978	$33,456	2,051	721
