Date	Venue	Score	Competition	Report
20 August	Ullevaal Stadium , Oslo (A)	0–0	Friendly	BBC Sport
6 September	Hampden Park , Glasgow (H)	3–1	ECQG5	BBC Sport
10 September	Westfalenstadion , Dortmund (A)	1–2	ECQG5	BBC Sport
11 October	Hampden Park , Glasgow (H)	1–0	ECQG5	BBC Sport
15 November	Hampden Park , Glasgow (H)	1–0	ECQPO	BBC Sport
19 November	Amsterdam ArenA , Amsterdam (A)	0–6	ECQPO	BBC Sport
31 March	Hampden Park , Glasgow (H)	1–2	Friendly	BBC Sport
28 April	Parken Stadium , Copenhagen (A)	0–1	Friendly	BBC Sport
27 May	A. Le Coq Arena , Tallinn (A)	1–0	Friendly	BBC Sport
30 May	Easter Road , Edinburgh (H)	4–1	Friendly	BBC Sport
