Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
5	June 3	Minnesota	81-85	Lennox (28)	Feenstra (9)	Lennox (8)	Philips Arena 5,844	0-5
6	June 6	Chicago	72-86	Latta (17)	Little (7)	Latta , Lennox (5)	Philips Arena 7,418	0-6
7	June 7	@ Chicago	70-91	Lacy (18)	Lacy (10)	Lennox (4)	UIC Pavilion 3,182	0-7
8	June 11	New York	77-81	Lennox (28)	Lennox (7)	Latta (6)	Philips Arena 5,936	0-8
9	June 13	Indiana	67-76	Young , Latta (14)	Lacy , Young (5)	Latta (6)	Philips Arena 8,167	0-9
10	June 16	@ Houston	79-88	Lennox (29)	Lennox (11)	Young (3)	Reliant Arena 6,139	0-10
11	June 18	San Antonio	66-81	Lovelace (18)	Young (13)	Young (7)	Philips Arena 6,225	0-11
12	June 20	@ Washington	61-72	Lennox (18)	Lennox (9)	Latta (4)	Verizon Center 7,448	0-12
13	June 22	Detroit	76-97	Latta (26)	Young (11)	Latta (10)	Philips Arena 7,865	0-13
14	June 27	@ Connecticut	101-109 (OT)	Lennox (44)	Lennox (9)	Lennox (7)	Mohegan Sun Arena 7,612	0-14
