Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Playoff Apps	Playoff Goals	Total Apps	Total Goals
1	Ian Gray	GK	17	0	1	0	3	0	1	0	0	0	22	0
2	Martyn Booty	DF	3 (1)	0	0	0	0	0	0	0	0	0	3 (1)	0
3	Rob Edwards	DF	11 (6)	1	0	0	1	0	0	0	2 (1)	1	14 (7)	2
4	Lee Fowler	MF	27 (2)	0	0	0	3	0	0	0	0 (1)	0	30 (3)	0
5	Steve Yates	DF	35	1	0	0	3	0	0	0	3	0	41	1
6	Ian Hughes	DF	12 (1)	1	0	0	1	0	1	0	0	0	14 (1)	1
7	Tyrone Thompson	MF	1 (1)	0	0	0	0	0	0	0	0	0	1 (1)	0
8	Tony Carss	MF	35 (1)	2	0	0	3	1	0	0	1	0	39 (1)	3
9	Paweł Abbott	FW	7	1	0	0	0	0	0	0	1 (1)	0	8 (1)	1
9	Jon Stead	FW	26	16	1	0	3	2	1	0	0	0	31	18
10	Jon Newby	FW	10 (4)	0	0	0	1	0	0	0	0	0	11 (4)	0
11	Danny Schofield	MF	38 (2)	8	1	0	3	0	1	0	3	1	46 (2)	9
12	Gary Harkins	MF	1 (2)	0	0	0	0	0	0	0	0	0	1 (2)	0
12	Chris Holland	MF	0 (3)	0	1	0	0	0	1	0	0	0	2 (3)	0
13	Phil Senior	GK	16	0	0 (1)	0	0	0	0	0	0	0	16 (1)	0
14	Iffy Onuora	FW	0 (3)	0	0	0	0	0	0	0	2	1	2 (3)	1
14	John Thorrington	MF	3 (2)	0	0	0	1	1	0	0	0	0	4 (2)	1
15	Nathan Clarke	DF	25 (1)	1	1	0	1	0	0	0	0	0	27 (1)	1
16	Efe Sodje	DF	37 (2)	4	1	0	2	0	0 (1)	0	3	0	43 (3)	4
17	Paul Scott	DF	16 (3)	2	1	0	1	0	1	0	0 (1)	0	19 (4)	2
18	Jon Worthington	MF	36 (3)	3	1	0	2	0	1	0	3	0	43 (3)	3
19	Dwayne Mattis	MF	2 (3)	0	0 (1)	0	0	0	0	0	0	0	2 (4)	0
20	Nat Brown	DF	13 (8)	0	0 (1)	0	0 (2)	0	0 (1)	0	0	0	13 (12)	0
21	Andy Holdsworth	DF	31 (5)	0	1	0	2	1	1	0	3	0	38 (5)	1
23	Andy Booth	FW	36 (1)	13	1	0	2	1	1	0	3	0	43 (1)	14
24	Anthony Lloyd	DF	30 (1)	3	1	0	0	0	1	0	3	0	35 (1)	3
25	Paweł Abbott	FW	5 (1)	4	0	0	0	0	0	0	0	0	5 (1)	4
26	Adnan Ahmed	MF	0 (1)	0	0	0	0	0	0	0	0	0	0 (1)	0
27	David Mirfin	DF	15 (6)	2	0	0	1	0	1	0	3	1	20 (6)	3
29	Fola Onibuje	FW	0 (2)	0	0	0	0	0	0	0	0	0	0 (2)	0
29	Paul Rachubka	GK	13	0	0	0	0	0	0	0	3	0	16	0
31	John McAliskey	FW	5 (3)	4	0	0	0	0	0	0	0 (2)	0	5 (5)	4
