Outcome	Date	Championship	Surface	Opponent	Score
Winner	3 June 2001	Durban 1	Hard	Lara Van Looyen	4–6, 6–3, 7–6(3)
Winner	18 June 2001	Durban 2	Hard	Mathilde Johansson	6–4, 6–3
Winner	21 July 2001	Evansville, Indiana	Hard	Kristen Schlukebir	6–1, 6–3
Runner-Up	10 June 2002	Vaduz	Clay	Myriam Casanova	1-6, 3-6
Runner-Up	17 June 2002	Lenzerheide	Clay	Eva Birnerová	5-7, 4-6
Winner	14 Octomber 2002	Mackay	Hard	Amanda Grahame	7-6 (6) 7-5
Winner	22 February 2004	Benin City 1	Hard	Meghha Vakaria	6–1, 6–3
Winner	29 February 2004	Benin City 2	Hard	Susanne Aigner	6–1, 4–6, 6–4
Runner-Up	5 April 2004	Torre del Greco	Clay	Emma Laine	6-3, 4-6, 0-6
Runner-Up	17 June 2004	Pétange	Clay	Stanislava Hrozenská	7-6(12), 1-6, 4-6
Runner-Up	10 Octomber 2004	Lagos 2	Hard	Sania Mirza	6-4, 6-7, 5-7
Winner	22 November 2004	Pretoria 2	Hard	Lizaan Du Plessis	6–1, 6–3
Winner	28 November 2004	Pretoria 2	Hard	Karoline Borgersen	6–1, 6–3
Runner-Up	4 June 2007	Hilton Head	Hard	Angela Haynes	6-3, 2-6, 4-6
Winner	11 June 2007	Allentown	Hard	Angela Haynes	6–2, 2–6, 6–1
Winner	17 December 2007	Lagos	Hard	Zuzana Kučová	6–2, 6–0
Runner-Up	26 January 2009	Laguna nigel	Hard	Alexa Glatch	1-6, 0-6
Winner	16 March 2009	Irapuato	Hard	Natalia Rizhonkova	6–1, 7–5
Winner	15 March 2010	Fort Walton Beach	Hard	Sophie Ferguson	7–5, 7–5
