Team	#	Car Sponsor(s)	Driver(s)	Listed Owner(s)	Engine	Chassis
A. J. Foyt Enterprises	14	ABC Supply Company	Takuma Sato	A. J. Foyt	Honda	Dallara
Andretti Autosport	1	DHL / Sun Drop	Ryan Hunter-Reay	Michael Andretti	Chevrolet	Dallara
Andretti Autosport	5	Citgo / PDVSA	E.J. Viso	Michael Andretti	Chevrolet	Dallara
Andretti Autosport	25	Royal Crown Cola	Marco Andretti	Michael Andretti	Chevrolet	Dallara
Andretti Autosport	27	GoDaddy.com	James Hinchcliffe	Michael Andretti	Chevrolet	Dallara
Bryan Herta Autosport	98	Barracuda Networks	JR Hildebrand Luca Filippi	Bryan Herta Steve Newey	Honda	Dallara
Chip Ganassi Racing	9	Target Stores	Scott Dixon	Chip Ganassi	Honda	Dallara
Chip Ganassi Racing	10	Target Stores	Dario Franchitti	Chip Ganassi	Honda	Dallara
Chip Ganassi Racing	83	Novo Nordisk	Charlie Kimball	Chip Ganassi	Honda	Dallara
Dale Coyne Racing	18	Sonny's Real Pit Bar-B-Q	Mike Conway James Davison Pippa Mann	Dale Coyne	Honda	Dallara
Dale Coyne Racing	19	Boy Scouts of America	Justin Wilson	Dale Coyne	Honda	Dallara
Dragon Racing	6	Truecar	Sebastian Saavedra	Jay Penske	Chevrolet	Dallara
Dragon Racing	7	McAfee	Sébastien Bourdais	Jay Penske	Chevrolet	Dallara
Ed Carpenter Racing	20	Fuzzy's Ultra Premium Vodka	Ed Carpenter	Ed Carpenter Tony George	Chevrolet	Dallara
KV Racing Technology	11	HydroxyCut	Tony Kanaan	Kevin Kalkhoven	Chevrolet	Dallara
KV Racing Technology	78	Entergy	Simona De Silvestro	Jimmy Vasser	Chevrolet	Dallara
Rahal Letterman Lanigan Racing	15	Midas	Graham Rahal	Mike Lanigan David Letterman Bobby Rahal	Honda	Dallara
Rahal Letterman Lanigan Racing	16	Acorn Stairlifts	James Jakes	Mike Lanigan David Letterman Bobby Rahal	Honda	Dallara
Sam Schmidt Motorsports	55	Lucas Oil / Oculus Transport	Tristan Vautier (R)	Sam Schmidt Ric Peterson	Honda	Dallara
Sam Schmidt Motorsports	77	Hewlett Packard	Simon Pagenaud	Sam Schmidt Davey Hamilton	Honda	Dallara
Sarah Fisher Hartman Racing	67	Hartman Oil / Hartmoor Polo Water /Various	Josef Newgarden	Sarah Fisher Wink Hartman Andy O'Gara	Honda	Dallara
Team Penske	3	Shell Oil	Helio Castroneves	Roger Penske	Chevrolet	Dallara
