Date of Issue	Denomination	Design	Paper Type	First Day Cover Cancellation
5 January 2007	52 cents	John Belisle, Kosta Tsetsekas	Tullis Russell Coatings	Toronto, ON
5 January 2007	$1.55	John Belisle, Kosta Tsetsekas	Tullis Russell Coatings	Toronto, ON
15 January 2007	52 cents	Karen Smith, Trivium Design Inc.	Tullis Russell Coatings	Ottawa, ON
12 February 2007	52 cents	q30 design inc.	Tullis Russell Coatings	Igloolik, NU
1 March 2007	52 cents	Isabelle Toussaint	Tullis Russell Coatings	Cornwall, ON
12 March 2007	52 cents	Denis L’Allier	Tullis Russell Coatings	Montreal, QC
12 March 2007	52 cents	Hélène L'Heureux	Tullis Russell Coatings	St. John's, NL
3 April 2007	52 cents	Denis L’Allier	Tullis Russell Coatings	Saskatoon, SK
3 May 2007	52 cents	John McQuarrie	Tullis Russell Coatings	Ottawa, ON
9 May 2007	52 cents	Ivan Novotny and TaylorSprules Corporation	Tullis Russell Coatings	Ottawa, ON
22 June 2007	$1.55	Niko Potton, Fleming Design	Tullis Russell Coatings	Vancouver, BC
26 June 2007	52 cents	Debbie Adams	Tullis Russell Coatings	Toronto, ON
29 June 2007	52 cents	Circle Design Inc.	Lowe-Martin	Toronto, ON
6 July 2007	52 cents	Saskia van Kampen	Tullis Russell	Glovertown, Newfoundland
20 July 2007	52 cents	Saskia van Kampen	Tullis Russell	Jasper, Alberta
25 July 2007	52 cents	Matthias Reinicke Lime Design Inc.	Tullis Russell	Tamaracouta, QC
26 July 2007	52 cents	Fugazi	Tullis Russell	St. Peter’s, Nova Scotia
13 September 2007	52 cents	Bradbury Branding Design Inc.	Tullis Russell	Regina , Saskatchewan
13 September 2007	52 cents	Xerxes Irani	Tullis Russell	Edmonton , Alberta
1 October 2007	52 cents	Sputnik Design Partners Inc.	Tullis Russell Coatings	Halifax, Nova Scotia
12 October 2007	1 cent	Keith Martin	Tullis Russell Coatings	Beeton, Ontario
12 October 2007	3 cents	Keith Martin	Tullis Russell Coatings	Beeton, Ontario
12 October 2007	5 cents	Keith Martin	Tullis Russell Coatings	Beeton, Ontario
12 October 2007	10 cents	Keith Martin	Tullis Russell Coatings	Beeton, Ontario
12 October 2007	25 cents	Keith Martin	Tullis Russell Coatings	Beeton, Ontario
1 November 2007	Permanent	Hélène L’Heureux	Tullis Russell Coatings	Tuktoyaktuk , Northwest Territories
1 November 2007	Permanent	Tandem Design Associates Inc.	Tullis Russell Coatings	Hope, British Columbia
1 November 2007	93 cents	Tandem Design Associates Inc.	Tullis Russell Coatings	Ange-Gardien, Quebec
1 November 2007	$1.55	Tandem Design Associates Inc.	Tullis Russell Coatings	Peace River, Alberta
27 December 2007	Permanent	Monique Dufour, Sophie Lafortune	Tullis Russell Coatings	Bloomfield Station, PEI
27 December 2007	96 cents	Monique Dufour, Sophie Lafortune	Tullis Russell Coatings	Bloomfield Station, PEI
27 December 2007	One dollar and fifteen cents	Monique Dufour, Sophie Lafortune	Tullis Russell Coatings	Bloomfield Station, PEI
27 December 2007	One dollar and sixty cents	Monique Dufour, Sophie Lafortune	Tullis Russell Coatings	Bloomfield Station, PEI
27 December 2007	Permanent (Spicer Type Paper)	Gottschalk + Ash International	Canadian Bank Note	Bjorkdale, Saskatchewan
27 December 2007	Permanent	Gottschalk + Ash International	Canadian Bank Note	Sambro, Nova Scotia
