Player	Starts	Cuts made	Best finish	Money list rank	Earnings ($)
Harrison Frazar	27	19	T7	112	738615
Derek Fathauer	24	8	T22	203	125305
James Nitties	26	15	T4	96	931532
John Huston	13	7	T19	199	135476
Chris Stroud	28	17	T6	113	735019
Robert Garrigus	25	17	T9	127	657204
David Berganio, Jr.	15	7	T32	205	115517
Glen Day	26	14	T13 (twice)	151	445720
James Oh	20	4	T39	220	57271
Webb Simpson	30	16	T5	70	1249674
Tyler Aldridge	17	3	T66 (twice)	239	24370
Notah Begay III	14	4	T28	223	54645
Matthew Borchert	18	4	65	234	34324
Jason Dufner	26	19	T2	33	2190792
Troy Kelly	16	3	T51	238	25828
Jimmy Walker	24	14	T5	125	662683
Gary Woodland	17	8	T28	204	121031
Wil Collins	18	5	T26	207	84569
Mathias Grönberg	13	6	6	162	354163
Bob Heintz	20	11	T8	169	312699
Kent Jones	24	12	T9	171	301879
Leif Olson	21	5	T3	154	412966
Ted Purdy	30	21	T5	100	838707
Chris Riley	22	16	T7	129	630417
Brian Vranesh	20	6	T8	189	198567
Aaron Watkins	18	6	T7	178	263969
Jay Williamson	22	14	T13	184	240574
