#	Title	Original airdate	Timeslot	Viewers (millions)	Nightly rank	Weekly rank
1	"Ambushed"	30 May 2011	Monday 8:30 pm – 9:30 pm	0.805	17	47
2	"Fearless"	30 May 2011	Monday 9:30 pm – 10:30 pm	0.667	17	65
3	"True Romance"	6 June 2011	Monday 8:30 pm – 9:30 pm	0.744	15	52
4	"Secrets and Lies"	6 June 2011	Monday 9:30 pm – 10:30 pm	0.726	17	54
5	"Him or Me"	13 June 2011	Monday 8:30 pm – 9:30 pm	0.673	21	61
6	"Demon Days"	13 June 2011	Monday 9:30 pm – 10:30 pm	0.598	26	82
7	"Man in the Machine"	20 June 2011	Monday 8:30 pm – 9:30 pm	0.680	19	60
8	"The Game"	20 June 2011	Monday 9:30 pm – 10:30 pm	0.666	20	64
9	"It's Not The Fall That Kills You"	27 June 2011	Monday 8:30 pm – 9:30 pm	0.835	13	40
10	"Stolen"	4 July 2011	Monday 8:30 pm – 9:30 pm	0.891	12	38
11	"In Deep"	4 July 2011	Monday 9:30 pm – 10:30 pm	0.830	14	45
12	"Break Out"	11 July 2011	Monday 8:30 pm – 9:30 pm	0.876	13	36
13	"The Dunes"	18 July 2011	Monday 8:30 pm – 9:30 pm	0.919	10	35
14	"Chemical Brothers"	25 July 2011	Monday 8:30 pm – 9:30 pm	0.817	15	51
15	"The Carter Redemption"	25 July 2011	Monday 9:30 pm – 10:30 pm	0.789	16	53
16	"Storm Chaser"	1 August 2011	Monday 8:30 pm – 9:30 pm	0.800	13	45
17	"Art Attack"	8 August 2011	Monday 8:30 pm – 9:30 pm	0.755	12	54
18	"Missing Pieces"	15 August 2011	Monday 8:30 pm – 9:30 pm	0.864	11	39
19	"Class of Their Own"	22 August 2011	Monday 8:30 pm – 9:30 pm	0.820	10	39
20	"The Intervention"	29 August 2011	Monday 8:30 pm – 9:30 pm	0.729	15	47
21	"Bad Company"	29 August 2011	Monday 9:30 pm – 10:30 pm	0.681	15	54
22	"Two Fires"	5 September 2011	Monday 8:30 pm – 9:30 pm	0.831	11	37
