Rank	Show	Episode	Number of Viewers	Date
1	Terminator: The Sarah Connor Chronicles	1.01 - " Pilot "	764,000	21 February 2008
2	Warehouse 13	1.01 - " Pilot "	570,000	8 April 2010
3	Warehouse 13	1.02 - " Resonance "	555,000	15 April 2010
4	V	1.01 - "Pilot"	541,000	11 October 2010
5	V	1.02 - "There is No Normal Anymore"	495,000	18 October 2010
6	Warehouse 13	1.04 - "Claudia"	479,000	29 April 2010
7	Terminator: The Sarah Connor Chronicles	1.03 - "The Turk"	463,000	6 March 2008
8	Terminator: The Sarah Connor Chronicles	1.05 - "Queen's Gambit"	450,000	20 March 2008
9	Terminator: The Sarah Connor Chronicles	1.02 - " Gnothi Seauton "	446,000	28 February 2008
10	Terminator: The Sarah Connor Chronicles	1.04 - " Heavy Metal "	445,000	13 March 2008
