Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1960	Pál Rázsó	Endrene Komjatszegi	no competition	no competition	no competition
1961	György Rázsó	no competition	no competition	no competition	no competition
1962	Pál Rázsó	no competition	no competition	no competition	no competition
1963	József Szepesi	Éva Szűcs	Pál Rázsó György Rázsó	Lídia Horváth Istvánné Marincsák	Pál Rázsó Vera Juhász
1964	Pál Rázsó	Éva Ráduly	Pál Rázsó György Rázsó	Éva Szűcs Éva Schmitt	György Rázsó Györgyné Rázsó
1965	György Rázsó	Katalin Jászonyi	Pál Rázsó György Rázsó	Katalin Jászonyi Irén Geblusek	Ferenc Jászonyi Katalin Jászonyi
1966	János Cserni	Katalin Jászonyi	János Cserni Zsolt Vajna	Katalin Jászonyi Renáta Doba	János Cserni Katalin Jászonyi
1967	János Cserni	Katalin Jászonyi	János Cserni Ferenc Jaszonyi	Katalin Jászonyi Erzsébet Wolf	János Cserni Katalin Jászonyi
1968	János Cserni	Katalin Jászonyi	János Cserni Tamás Szulyovszky	Katalin Jászonyi Éva Cserni	János Cserni Eleonóra Gedô
1969	János Cserni	Éva Cserni	András Édes Péter Majerszky	Éva Cserni Erzsébet Wolf	Tamás Szulyovszky Valéria Virágos
1970	János Cserni	Éva Cserni	János Cserni Tamás Szulyovszky	Valéria Virágos Erzsébet Andrekovics	János Cserni Éva Cserni
1971	János Cserni	Éva Cserni	Tamás Szulyovszky Ferenc Rolek	Gertrúd Ladányi Erzsébet Wolf	András Édes Erzsébet Wolf
1972	János Cserni	Éva Cserni	András Édes József Papp	Gertrúd Ladányi Erzsébet Wolf	András Édes Erzsébet Wolf
1973	János Cserni	Éva Cserni	János Cserni László Rammer	Éva Cserni Valéria Virágos	János Cserni Éva Cserni
1974	János Cserni	Éva Cserni	János Cserni László Rammer	Éva Cserni Valéria Virágos	János Cserni Éva Cserni
1975	István Englert	Erzsébet Németh	János Cserni László Rammer	Erzsébet Németh Ildikó Szabó	János Cserni Éva Cserni
1976	Imre Bereknyei	Éva Cserni	István Englert József Papp	Erzsébet Németh Ildikó Szabó	János Cserni Éva Cserni
1977	Imre Bereknyei	Éva Cserni	István Englert József Papp	Éva Cserni Éva Pozsik	János Cserni Éva Cserni
