Season	Division	Position	Played	Lost	Points
Kingston Wildcats	Kingston Wildcats	Kingston Wildcats	Kingston Wildcats	Kingston Wildcats	Kingston Wildcats
2005–2006	EBL Div1	9th	26	15	22
2004–2005	EBL Div1	11th	22	17	10
2003–2004	EBL Div1	11th	22	17	8
2002–2003	NBL Conf	6th	22	11	22
2001–2002	NBL Conf	4th	18	7	22
2000–2001	NBL Div1	6th	18	12	12
1999–2000	NBL Div2	3rd	24	7	34
1998–1999	NBL Div2	6th	26	10	32
Chessington Wildcats	Chessington Wildcats	Chessington Wildcats	Chessington Wildcats	Chessington Wildcats	Chessington Wildcats
1997–1998	NBL Div2	12th	24	19	10
1996–1997	NBL Div2	11th	26	19	14
1995–1996	NBL Div3 South	2nd	16	2	28
1994–1995	NBL Div3 South	4th	18	6	214
