-	Creator(s)	First public release date	Latest stable version	Cost ( USD )	Software license
Archive Utility	Apple Inc.	October24, 2003	10.9 (October22, 2013 ) [±]	Included with Mac OS X Core Services	Proprietary
Ark	KDE team	Unknown	2.14 February9, 2010	Free	GPL
BetterZip	BetterZip	May2006 months ago	2.3 (May30, 2012 ) [±]	$19.95 USD	Proprietary
Bitser	Bitser	January1, 2009	1.0 Beta September4, 2013	Free	Proprietary
Disk ARchiver	Denis Corbin	2002 12years ago	2.4.10 March9, 2013	Free	GPL
File Roller	Paolo Bacchilega	Unknown	3.8.3 (July2, 2013 ) [±]	Free	GPL
Filzip	Philipp Engel	Unknown	3.06 (July19, 2006 ) [±]	Free	Proprietary
iArchiver	Dare to be Creative Ltd.	October21, 2007	1.4.1 October30, 2008	$26	Proprietary
Info-ZIP (Wzip)	Samuel Smith	March1989 months ago	6.0 April29, 2009	Free	BSD-like
IZArc	IZSoftware	Unknown	4.1.8 (July4, 2013 ) [±]	Free	Proprietary
KGB Archiver	Tomasz Pawlak	April1, 2006	1.2.1.24 November1, 2006 2.0 Beta 2 October7, 2007	Free	GPL
PeaZip	Giorgio Tani	September16, 2006	5.1.1 October6, 2013	Free	LGPL
PKZIP	Phil Katz	1989 25years ago	12.4 (ca. September2009 months ago )	$29.00	Proprietary
PowerArchiver	ConexWare	March1999 months ago	12.11 January26, 2012	$19.95	Proprietary
The Unarchiver	Circlesoft	July1, 2006	2.5 July13, 2010	Free	LGPL
TUGZip	Christian Kindahl	August18, 2002	3.5.0.0 April2, 2008	Free	Proprietary
WinRAR	Eugene Roshal / Alexander Roshal	1993 21years ago	5.00 (September3, 2013 ) [±]	Free expander; $29	Proprietary
WinZip	WinZip Computing, Inc	1991 23years ago	17.5 (Build 10562 ) (August7, 2013 ) [±]	$29.95 Standard; $49.95 Pro	Proprietary
XAD a.k.a. XADMaster.library	Dirk Stoecker	1998 16years ago	13.1	Shareware , Free for non commercial use	Proprietary
Xarchiver	Giuseppe Torelli	Unknown	0.5.2 November12, 2008	Free	GPL
ZipGenius	Matteo Riso of M.Dev Software	May2003 months ago	6.3.0.2400 January22, 2010	Free	Proprietary
