Name or route	type	elevation groundstation	elevation mountainstation	slope length	capacity in persons/hour	construction year(s)
Betten Betten Village	aerial tramway	832	1199	872	350	1950 1965
Betten Village Bettmeralp	aerial tramway	1199	1931	1610	500	1951 1967 1979
Betten Bettmeralp	aerial tramway	832	1933	2446	970	1974
Bettmeralp Bettmerhorn	gondola	1991	2652	2324	2400	1975 1995
Wurzenbord	chairlift	1966	2224	1075	2000	2003
Schönbiel	chairlift	1956	2296	1669	2800	1998
Alpmatten 1	surface lift	1861	1951	294	650	1971
Alpmatten 2	surface lift	1861	1951	294	650	1971
Bettmeralp 1	surface lift	1940	2067	640	1000	1972 1955
Bettmeralp 2	surface lift	1940	2067	640	1000	1971
Tanzbode	surface lift	1985	2016	488	720	1995 1992:Temporary lift
Trainerlift	surface lift	1974	2026	303	820	1983 1st trainer:1969
Lager 1	surface lift	1974	2035	336	1000	1983
Lager 2	surface lift	1974	2022	223	720	1999
