Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Droylsden	34	8	6	79	42	+37	48
2	Warrington Town	34	13	5	48	34	+14	45
3	Ashton United	34	6	9	73	45	+28	44
4	Wren Rovers	34	8	8	65	39	+26	44
5	Colwyn Bay	34	9	8	61	43	+18	43
6	Darwen	34	8	11	45	47	−2	38
7	Chadderton	34	9	11	52	47	+5	37
8	Colne Dynamoes	34	8	12	57	44	+13	36
9	Skelmersdale United	34	10	11	52	53	−1	36
10	Ellesmere Port & Neston	34	5	14	68	54	+14	35
11	Formby	34	7	14	54	55	−1	33
12	Blackpool Mechanics	34	8	14	56	64	−8	32
13	Lancaster City	34	7	15	55	53	+2	31
14	Prescot Cables	34	6	16	46	48	−2	28 2
15	Great Harwood Town	34	8	17	36	59	−23	24 2
16	Oldham Town	34	9	18	38	57	−19	23
17	Atherton Laburnum Rovers	34	5	21	32	61	−29	21
18	Salford	34	8	25	17	89	−72	10
