Tournament	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	Career SR	Career Win-Loss
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	4R	SF	2R	A	2R	3R	A	A	3R	2R	A	A	2R	0 / 8	16–7
French Open	A	A	2R	3R	SF	3R	2R	QF	3R	3R	2R	3R	A	A	A	0 / 10	22–10
Wimbledon	A	A	3R	3R	4R	1R	1R	W	4R	SF	3R	2R	A	QF	A	1 / 11	29–10
U.S. Open	A	A	1R	4R	4R	2R	3R	1R	QF	3R	QF	QF	A	1R	A	0 / 11	22–11
Grand Slam SR	0 / 0	0 / 0	0 / 4	0 / 4	0 / 4	0 / 3	0 / 4	1 / 4	0 / 3	0 / 3	0 / 4	0 / 4	0 / 0	0 / 2	0 / 1	1 / 40	N/A
Annual Win-Loss	0–0	0–0	6–4	12–3	12–4	3–3	4–4	13–3	8–3	9–3	9–3	8–4	0–0	4–2	1–1	N/A	89–38
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	3R	A	A	A	A	A	A	QF	A	A	A	1R	0 / 3	4–3
Miami	A	A	1R	QF	QF	A	2R	4R	4R	A	W	A	A	A	1R	1 / 8	16–7
Monte Carlo	A	A	A	1R	3R	2R	QF	3R	QF	SF	A	3R	A	A	A	0 / 8	15–8
Rome	A	A	1R	1R	1R	3R	A	F	2R	QF	2R	1R	A	A	A	0 / 9	12–9
Hamburg	A	A	A	QF	QF	QF	3R	3R	2R	3R	2R	A	A	A	A	0 / 8	13–8
Montreal/Toronto	A	A	A	A	A	A	2R	A	QF	F	2R	3R	A	1R	A	0 / 6	9–6
Cincinnati	A	A	A	3R	2R	1R	1R	3R	2R	3R	QF	1R	A	3R	A	0 / 10	9–10
Madrid (Stuttgart)	A	A	A	A	A	2R	QF	3R	F	W	F	2R	A	A	A	1 / 7	17–6
Paris	A	A	1R	3R	2R	3R	QF	2R	QF	2R	2R	A	A	A	A	0 / 9	6–9
Masters Series SR	0 / 0	0 / 0	0 / 3	0 / 7	0 / 6	0 / 6	0 / 7	0 / 7	0 / 8	1 / 7	1 / 8	0 / 5	0 / 0	0 / 2	0 / 2	2 / 68	N/A
Annual Win-Loss	0–0	0–0	0–3	11–7	7–6	7–6	10–7	13–7	14–8	17–6	15–7	5–5	0–0	2–2	0–2	N/A	101–66
Year End Ranking	392	129	45	10	15	17	11	7	11	10	10	36	–	112	147	N/A	N/A
