District	Incumbent	Party	Elected	Status
1st	Marty Williams	Republican	1995	Defeated in Primary
6th	Nick Rerras	Republican	1999	Defeated
9th	Benjamin Lambert	Democratic	1985	Defeated in Primary
11th	Stephen Martin	Republican	1994	Reelected
13th	Fred Quayle	Republican	1991	Reelected
14th	Harry Blevins	Republican	2001	Reelected
15th	Frank Ruff	Republican	1999	Reelected
16th	Henry Marsh III	Democratic	1991	Reelected
17th	Edd Houck	Democratic	1983	Reelected
19th	Charles Hawkins	Republican	1991	Retired
20th	Roscoe Reynolds	Democratic	1996	Reelected
22nd	Brandon Bell	Republican	1991	Defeated in Primary
24th	Emmett Hanger	Republican	1995	Reelected
26th	Mark Obenshain	Republican	2003	Reelected
27th	Russ Potts	Republican	1991	Retired
28th	John Chichester	Republican	1977	Retired
29th	Chuck Colgan	Democratic	1975	Reelected
31st	Mary Margaret Whipple	Democratic	1995	Reelected
33rd	Mark Herring	Democratic	2006	Reelected
34th	Jeannemarie Devolites-Davis	Republican	2003	Defeated
35th	Dick Saslaw	Democratic	1980	Reelected
37th	Ken Cuccinelli	Republican	2001	Reelected
39th	Jay O'Brien	Republican	2002	Defeated
