Rank	Name	Headquarters	Primary industry	Market value ( USD million)
1	Exxon Mobil	United States	Oil and gas	446,943
2	General Electric	United States	Conglomerate	383,564
3	Microsoft	United States	Software industry	293,537
4	Citigroup	United States	Banking	273,691
5	Gazprom	Russia	Oil and gas	271,482
6	Industrial and Commercial Bank of China	China	Banking	254,592
7	Toyota Motor Corporation	Japan	Automotive	241,161
8	Bank of America	United States	Banking	239,758
9	Royal Dutch Shell	The Netherlands	Oil and gas	225,781
10	BP	United Kingdom	Oil and gas	218,643
