Week	Date	Opponent	Result	Attendance
1	September 17, 1972	at Baltimore Colts	W 10-3	53,652
2	September 24, 1972	at Washington Redskins	L 24-10	53,039
3	October 1, 1972	Pittsburgh Steelers	L 25-19	49,140
4	October 8, 1972	at Minnesota Vikings	W 19-17	49,687
5	October 15, 1972	Washington Redskins	L 33-3	50,454
6	October 22, 1972	at New York Giants	L 27-21	62,756
7	October 29, 1972	Chicago Bears	L 27-10	50,464
8	November 5, 1972	at Philadelphia Eagles	T 6-6	65,720
9	November 12, 1972	at Dallas Cowboys	L 33-24	65,218
10	November 19, 1972	New York Giants	L 13-7	48,014
11	November 27, 1972	at Miami Dolphins	L 31-10	80,010
12	December 3, 1972	Dallas Cowboys	L 27-6	49,787
13	December 10, 1972	Los Angeles Rams	W 24-14	36,873
14	December 17, 1972	Philadelphia Eagles	W 24-23	34,872
