Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Cincinnati Bengals	W 34–6	53,705
2	September 15, 2002	Houston Texans	W 24–3	56,098
3	September 22, 2002	at Arizona Cardinals	W 23–15	28,980
4	September 29, 2002	New England Patriots	W 21–14	66,463
5	October 6, 2002	at Denver Broncos	L 26–9	75,065
6	October 13, 2002	Kansas City Chiefs	W 35–34	58,995
7	October 20, 2002	at Oakland Raiders	W 27–21	60,974
8	Bye	Bye	Bye	Bye
9	November 3, 2002	New York Jets	L 44–13	59,772
10	November 10, 2002	at St. Louis Rams	L 28–24	66,093
11	November 17, 2002	San Francisco 49ers	W 20–17	67,161
12	November 24, 2002	at Miami Dolphins	L 30–3	73,138
13	December 1, 2002	Denver Broncos	W 30–27	66,357
14	December 8, 2002	Oakland Raiders	L 27–7	67,968
15	December 15, 2002	at Buffalo Bills	L 20–13	61,838
16	December 22, 2002	at Kansas City Chiefs	L 24–22	77,899
17	December 29, 2002	Seattle Seahawks	L 31–28	52,159
