Rank	Previous Rank	Name	Nationality	Team	Points
1	1	Davide Rebellin	Italy	Gerolsteiner	157
2	2	Alejandro Valverde	Spain	Caisse d'Epargne	107
3	3	Danilo Di Luca	Italy	Liquigas	100
4	4	Óscar Freire	Spain	Rabobank	82
5	5	Stuart O'Grady	Australia	Team CSC	79
6	6	Stefan Schumacher	Germany	Gerolsteiner	75
7	7	Fränk Schleck	Luxembourg	Team CSC	63
8	8	Juan José Cobo	Spain	Saunier Duval-Prodir	62
9	9	Alberto Contador	Spain	Discovery Channel	58
10	10	Tom Boonen	Belgium	Quick Step-Innergetic	57
11	–	Thomas Dekker	Netherlands	Rabobank	55
12	11	Andreas Klöden	Germany	Astana	53
13	12	Alessandro Ballan	Italy	Lampre-Fondital	50
14	13	Matthias Kessler	Germany	Astana	50
15	18	Robbie McEwen	Australia	Predictor-Lotto	47
