Date	Tournament	Surface	Opponent in the final	Score
18 April 2006	Melilla , Spain	Hard	Komlavi Loglo	6–2, 6–3
19 June 2006	Santa Cruz de Tenerife , Spain	Hard	Albert Ramos-Viñolas	6–2, 6–0
22 October 2007	Rodez , France	Hard	Baptiste Dupuy	6–1, 6–2
12 November 2007	Sunderland , United Kingdom	Hard	Ken Skupski	6–4, 6–3
22 January 2008	Sheffield , United Kingdom	Hard	Timo Nieminen	3–6, 7–6 (8–6) , 6–2
15 September 2008	Plaisir , France	Hard	Jean-Christophe Faurel	4–6, 6–4, 6–2
10 November 2008	Jersey , United Kingdom	Hard	Andreas Beck	7–6 (7–4) , 7–6 (7–4)
15 August 2010	Istanbul , Turkey	Hard	Mikhail Kukushkin	6–4, 3–6, 6–3
10 October 2010	Mons , Belgium	Hard (i)	Steve Darcis	7–5, 6–4
5 January 2013	Nouméa , New Caledonia	Hard	Andrej Martin	6–4, 6–3
17 March 2013	Sarajevo , Bosnia and Herzegovina	Hard (i)	Dustin Brown	7–6 (7–3) , 7–6 (7–2)
