Company Name	Product Name	Hardware Model	Accreditation type	Accreditation level	Accreditation status
Sony Mobile Communications	XPERIA RCSe Client	XPERIA T, XPERIA J	Full	joyn Hot Fixes	Approved (awarded 15.11.12)
WIT Software	WIT Mobile Communicator for Android	Android Smartphone	Full	joyn Hot Fixes	Approved (awarded 15.11.12)
LG Electronics	LG RCS-e Client	LG-P760	Full	joyn Hot Fixes	Approved (awarded 19.11.12)
Nokia Corporation	Nokia Windows Phone RCS-e Client	Lumia 920, Lumia 820, Lumia 620	Full	joyn Hot Fixes	Approved (awarded 05.12.12)
Samsung Electronics Co Ltd	Samsung RCSe client	GT-I9300	Full	joyn Hot Fixes	Approved (awarded 18.12.12)
HTC Corporation	HTC One	Z520e	Full	joyn Hot Fixes	Approved (awarded 21.12.12)
Neusoft Mobile Solutions Oy	Silta RCS-e client for Android	Android Smartphone	Full	joyn Hot Fixes	Approved (awarded 27.02.13)
Summit Tech Communications	Summit RCS-e Client	Android Smartphone	Full	joyn Hot Fixes	Approved (awarded 13.03.13)
Samsung Electronics Co Ltd	Galaxy S2	GT-I9100	Provisional	joyn	Approved (valid until 06.04.13)
Nokia Corporation	Nokia RCS-e Client	Nokia 700	Provisional	joyn	Approved (valid until 03.05.13)
Summit Tech Communications	Summit RCS-e Client	Apple iPhone	Provisional	joyn	Approved (valid until 03.07.13)
WIT Software	WIT Mobile Communicator for iPhone	Apple iPhone	Full	joyn Hot Fixes	Approved (awarded 17.05.13)
Deutsche Telekom AG	Telekom Joyn Client for Android Devices	Android Smartphone	Provisional	joyn	Approved (valid until 10.09.13)
Huawei Technologies Co.Ltd.	Huawei RCS-e client	U8815 Asura	Provisional	joyn	Approved (valid until 16.10.13)
Summit Tech Multimedia Communications Inc.	MetroPCS RCS joyn client	Android Smartphone	Provisional	joyn	Approved (valid until 29.11.13)
