Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	11–4	Raoul Romero	TKO (punches)	Bellator 5	2	1:43	Dayton, Ohio , United States
Loss	10–4	Pat Barry	TKO (leg kicks)	UFC 92	1	2:36	Las Vegas, Nevada , United States
Loss	10–3	Cheick Kongo	TKO (punches)	UFC 87	1	4:55	Minneapolis , Minnesota , United States
Win	10–2	Konstantin Gluhov	Decision (unanimous)	BodogFIGHT : USA vs. Russia	3	5:00	Moscow , Russia
Win	9–2	John George	TKO {punches}	IFO: Kimmons vs Yunker	1	0:54	Nevada , United States
Win	8–2	Dominic Richard	TKO (punches)	BodogFIGHT : Vancouver	1	0:46	British Columbia , Canada
Win	7–2	Jeremiah Constant	TKO (punches)	BodogFIGHT : Costa Rica	1	1:26	Costa Rica
Loss	6–2	Dan Bobish	Submission (punches)	Xtreme Fight Series 2	1	1:25	Idaho , United States
Loss	6–1	Christian Wellisch	TKO (corner stoppage)	IFC: Caged Combat	2	5:00	California , United States
Win	6–0	Rob Wince	TKO (corner stoppage)	WEF: Sin City	1	5:00	Nevada , United States
Win	5–0	Ruben Villareal	KO (punches)	GC 32: King of the Hill	2	1:38	California , United States
Win	4–0	Julius Askew	Decision (unanimous)	GC 27: FightFest 2	3	5:00	California , United States
Win	3–0	Mike Wolmack	TKO (punches)	GC 27: FightFest 2	1	2:57	California , United States
Win	2–0	Jonah Broad	Submission (rear naked choke)	GC 26: FightFest 1	1	0:51	California , United States
Win	1–0	Scott Wallace	N/A	RMS 2: Rocky Mountain Slammer 2	N/A	N/A	Colorado , United States
