Year	English title	Original title	Country	Director
Best Foreign Film – Foreign Language	Best Foreign Film – Foreign Language	Best Foreign Film – Foreign Language	Best Foreign Film – Foreign Language	Best Foreign Film – Foreign Language
1965	Juliet of the Spirits	Giulietta degli spiriti	Italy	Federico Fellini
1965	Always Further On	Tarahumara, cada vez más lejos	Mexico	Luis Alcoriza
1965	Circle of Love	La ronde	France	Roger Vadim
1965	Red Beard	Akahige	Japan	Akira Kurosawa
1965	The Umbrellas of Cherbourg	Les parapluies de Cherbourg	France	Jacques Demy
1966	A Man and a Woman	Un homme et une femme	France	Claude Lelouch
1966	The Birds, the Bees and the Italians	Signore & signori	Italy	Pietro Germi
1966	Hamlet	Гамлет	USSR	Grigori Kozintsev
1966	Impossible on Saturday	Pas question le samedi	France/Israel/Italy	Alex Joffé
1966	Loves of a Blonde	Lásky jedné plavovlásky	Czechoslovakia	Miloš Forman
1967	Live for Life	Vivre pour vivre	France	Claude Lelouch
1967	Climax	L'immorale	France/Italy	Pietro Germi
1967	Closely Watched Trains	Ostře sledované vlaky	Czechoslovakia	Jirí Menzel
1967	Elvira Madigan	Elvira Madigan	Sweden	Bo Widerberg
1967	The Stranger	Lo straniero	France	Luchino Visconti
1968	War and Peace	Voyna i mir	USSR	Sergei Bondarchuk
1968	The Bride Wore Black	La mariée était en noir	France	François Truffaut
1968	I Even Met Happy Gypsies	Skupljaci perja	Yugoslavia	Aleksandar Petrović
1968	Shame	Skammen	Sweden	Ingmar Bergman
1968	Stolen Kisses	Baisers volés	France	François Truffaut
1969	Z	Z	Algeria	Costa-Gavras
1969	Adalen 31	Ådalen '31	Sweden	Bo Widerberg
1969	Blaumilch Canal	Te'alat Blaumilch	Israel	Ephraim Kishon
1969	Girls in the Sun	Koritsia ston ilio	Greece	Vasilis Georgiadis
1969	Satyricon	Fellini - Satyricon	Italy	Federico Fellini
