District	Incumbent	Party	First elected	Result	Candidates
California 4	Robert L. Leggett	Democratic	1962	Re-elected	Robert L. Leggett (D) 50.2% Albert Dehr (R) 49.8%
California 14	John J. McFall	Democratic	1956	Re-elected	John J. McFall (D) 72.5% Roger A. Blain (R) 27.5%
California 16	Burt L. Talcott	Republican	1962	Lost re-election Democratic gain	Leon Panetta (D) 53.4% Burt L. Talcott (R) 46.6%
California 18	William M. Ketchum	Republican	1972	Re-elected	William M. Ketchum (R) 64.2% Dean Close (D) 35.8%
California 26	John H. Rousselot	Republican	1970	Re-elected	John H. Rousselot (R) 65.6% Bruce Latta (D) 34.4%
California 27	Alphonzo E. Bell, Jr.	Republican	1960	Retired to run for U. S. Senate Republican hold	Bob Dornan (R) 54.7% Gary Familian (D) 45.3%
California 31	Charles H. Wilson	Democratic	1962	Re-elected	Charles H. Wilson (D) Unopposed
California 33	Del M. Clawson	Republican	1963	Re-elected	Del M. Clawson (R) 55.1% Ted Snyder (D) 44.9%
California 34	Mark W. Hannaford	Democratic	1974	Re-elected	Mark W. Hannaford (D) 50.7% Dan Lungren (R) 49.3%
California 35	James F. Lloyd	Democratic	1974	Re-elected	James F. Lloyd (D) 53.3% Louis Brutocao (R) 46.7%
California 40	Andrew J. Hinshaw	Republican	1972	Lost renomination Republican hold	Robert Badham (R) 59.3% Vivian Hall (D) 40.7%
California 41	Bob Wilson	Republican	1952	Re-elected	Bob Wilson (R) 57.7% King Golden, Jr. (D) 42.3%
California 42	Lionel Van Deerlin	Democratic	1962	Re-elected	Lionel Van Deerlin (D) 76.0% Wes Marden (R) 24.0%
