Team	Stadium	Home Games	Average Attendance	Total Attendance	Capacity Percentage
Dallas Cowboys	Cowboys Stadium	8	85512	684096	106.9%
New York Giants	New Meadowlands Stadium	8	79475	635800	96.3%
New York Jets	New Meadowlands Stadium	8	78986	631888	95.7%
Washington Redskins	FedExField	8	76921	615368	83.9%
Denver Broncos	Invesco Field at Mile High	8	75327	602618	99.0%
New Orleans Saints	Mercedes-Benz Superdome	8	73042	584336	100.1%
Carolina Panthers	Bank of America Stadium	8	72292	578342	98.0%
Kansas City Chiefs	Arrowhead Stadium	8	72082	576659	93.9%
Houston Texans	Reliant Stadium	8	71496	571969	100.6%
Baltimore Ravens	M&T Bank Stadium	8	71224	569792	100.3%
Green Bay Packers	Lambeau Field	8	85519	694097	107.8
San Francisco 49ers	Candlestick Park	8	69732	557856	99.3%
Philadelphia Eagles	Lincoln Financial Field	8	69144	553152	102.3%
Tennessee Titans	LP Field	8	69143	553144	100.0%
Atlanta Falcons	Georgia Dome	8	68986	551892	96.8%
New England Patriots	Gillette Stadium	8	68756	550048	100.0%
Seattle Seahawks	CenturyLink Field	8	66413	531311	99.1%
Cleveland Browns	Cleveland Browns Stadium	8	65859	526874	90.0%
San Diego Chargers	Qualcomm Stadium	8	65392	523143	91.7%
Indianapolis Colts	Lucas Oil Stadium	8	64828	518627	102.9%
Detroit Lions	Ford Field	8	63742	509940	98.8%
Pittsburgh Steelers	Heinz Field	8	63034	504279	97.0%
Minnesota Vikings	Hubert H. Humphrey Metrodome	8	62816	502529	98.0%
Jacksonville Jaguars	EverBank Field	8	62331	498655	92.8%
Chicago Bears	Soldier Field	8	62145	497166	101.0%
Arizona Cardinals	University of Phoenix Stadium	8	61181	489455	96.5%
Miami Dolphins	Sun Life Stadium	8	60886	487089	81.0%
Oakland Raiders	Oakland-Alameda County Coliseum	8	59242	473938	94.0%
St. Louis Rams	Edward Jones Dome	8	56394	451153	86.3%
Buffalo Bills	Ralph Wilson Stadium **	7	62694	438864	85.8%
Tampa Bay Buccaneers	Raymond James Stadium *	7	56614	396300	86.2%
