Round	Pick #	Overall	Name	Position	College
1	22	22	Andre Rison	Wide Receiver	Michigan State
3	16	72	Mitchell Benson	Defensive Tackle	TCU
4	15	99	Pat Tomberlin	Guard	Florida State
6	16	155	Quintus McDonald	Linebacker	Penn State
7	15	182	Ivy Joe Hunter	Running Back	Kentucky
7	18	185	Charles Washington	Defensive Back	Cameron
8	17	212	Kurt Larson	Linebacker	Michigan State
9	16	239	William Mackall	Wide Receiver	Tennessee-Martin
10	15	266	Jim Thompson	Offensive Tackle	Auburn
11	17	296	Wayne Johnson	Quarterback	Georgia
12	7	314	William DuBose	Running Back	South Carolina State
12	16	323	Steve Taylor	Quarterback	Nebraska
