Track	Song title	Length	Composer(s)	Performance location(s)
Disc A	Disc A	Disc A	Disc A	Disc A
1	"The Time Has Come"	6:24	Joel Houston	São Paulo , Brazil
2	"One Way"	3:37	Jonathon Douglass & Houston	Tokyo, Japan
3	"What the World Will Never Take"	4:15	Marty Sampson , Matt Crocker , & Scott Ligertwood	Amsterdam , Netherlands
4	"'Til I See You"	6:05	Joel Houston & Jad Gillies	Edinburgh , Scotland
5	"Take All of Me"	8:02	Marty Sampson	Lisbon , Portugal + Paris, France
6	"The Stand"	5:32	Joel Houston	Shanghai , China + Vancouver , Canada
7	"You'll Come"	6:22	Brooke Fraser	Sydney , Australia
8	"Break Free"	4:09	Joel Houston, Matt Crocker, & Scott Ligertwood	Oslo , Norway
9	"Look to You"	4:14	Marty Sampson	Johannesburg , South Africa
10	"Where the Love Lasts Forever"	6:03	Joel Houston	Kiev , Ukraine
11	"Forever"	4:15	Marty Sampson	Seoul , South Korea
12	"There Is Nothing Like"	7:49	Marty Sampson & Jonas Myrin	London, England
13	"Tell the World"	4:34	Jonathon Douglass & Joel Houston & Marty Sampson	Jakarta , Indonesia
14	"All Day"	5:18	Marty Sampson	Mexico City , Mexico
Disc B	Disc B	Disc B	Disc B	Disc B
1	"Take It All"	3:36	Marty Sampson, Matt Crocker, & Scott Ligertwood	Manila , Philippines
2	"My Future Decided"	3:34	Jonathon Douglas & Joel Houston	Memphis, Tennessee , United States
3	"All I Need Is You"	6:00	Marty Sampson	Cape Town , South Africa
4	"Mighty to Save"	5:04	Reuben Morgan & Ben Fielding	Orlando , United States
5	"Nothing But the Blood"	3:49	Traditional hymn	New Jersey , United States
6	"Hosanna"	6:13	Brooke Fraser	Berlin , Germany
7	"Fuego De Dios (Fire Fall Down)"	1:40	Matt Crocker	Asunción , Paraguay
8	"Shout Unto God"	4:14	Joel Houston & Marty Sampson	Buenos Aires , Argentina + Copenhagen , Denmark
9	"Salvation Is Here"	4:03	Joel Houston	Budapest , Hungary
10	"Love Enough"	3:04	Braden Lang & Scott Ligertwood	Sydney, Australia
11	"More Than Life"	6:29	Morgan	Orlando, United States
12	"None But Jesus"	7:58	Brooke Fraser	Toronto , Canada + Buenos Aires, Argentina
13	"From the Inside Out"	5:59	Joel Houston	Rio de Janeiro , Brazil
14	"Came to My Rescue"	3:43	Marty Sampson, Dylan Thomas, & Joel Davies	Kuala Lumpur , Malaysia
15	"Saviour King"	7:03	Marty Sampson & Mia Fieldes	Västerås , Sweden
16	"Solution"	5:55	Joel Houston & Matt Crocker	Los Angeles , United States
