Season	Team Name	Games	Losses	Points
1986	Richmond Outlaws	24	15	18
1987	Richmond Outlaws	24	15	18
1988	Richmond Outlaws	24	16	16
1989	Richmond Outlaws	24	17	14
1990	Burnaby Lakers	24	14	20
1991	Burnaby Lakers	24	16	16
1992	Burnaby Lakers	24	10	28
1993	Burnaby Lakers	24	12	24
1994	Burnaby Lakers	20	16	8
1995	Burnaby Lakers	25	13	23
1996	Burnaby Lakers	20	10	20
1997	Burnaby Lakers	20	18	3
1998	Burnaby Lakers	25	21	8
1999	Burnaby Lakers	25	20	10
2000	Burnaby Lakers	25	14	22
2001	Burnaby Lakers	20	11	18
2002	Burnaby Lakers	20	9	22
2003	Burnaby Lakers	20	11	17
2004	Burnaby Lakers	20	6	28
2005	Burnaby Lakers	18	9	17
2006	Burnaby Lakers	18	6	24
2007	Burnaby Lakers	18	6	24
2008	Burnaby Lakers	18	7	19
2009	Burnaby Lakers	18	15	5
Total	24 seasons	522	307	422
