Draw	Entrant	Brand	Order	Eliminated by	Time
1	Rey Mysterio	Raw	20	Big Show	49:24
2	John Morrison	ECW	5	Triple H	19:32
3	Carlito	SD	3	Kozlov	06:11
4	Montel Vontavious Porter	SD	2	Kozlov	03:52
5	The Great Khali	SD	1	Kozlov	01:30
6	Vladimir Kozlov	SD	4	Triple H	02:40
7	Triple H	SD	29	Orton	49:55
8	Randy Orton	Raw	—	Winner	48:27
9	JTG	Raw	7	Undertaker	11:59
10	Ted DiBiase	Raw	27	Triple H	45:11
11	Chris Jericho	Raw	23	Undertaker	37:17
12	Mike Knox	Raw	19	Big Show	32:42
13	The Miz	ECW	6	Triple H	01:18
14	Finlay	ECW	21	Kane	29:59
15	Cody Rhodes	Raw	28	Triple H	37:01
16	The Undertaker	SD	26	Big Show	32:29
17	Goldust	Raw	8	Rhodes	01:11
18	CM Punk	Raw	18	Big Show	22:29
19	Mark Henry	ECW	9	Mysterio	03:14
20	Shelton Benjamin	SD	10	Undertaker	04:17
21	William Regal	Raw	11	Punk	04:23
22	Kofi Kingston	Raw	12	Kendrick	06:58
23	Kane	Raw	24	Orton, Rhodes and DiBiase	18:21
24	R-Truth	SD	17	Big Show	12:06
25	Rob Van Dam	Legend	22	Jericho	13:56
26	The Brian Kendrick	SD	13	Triple H	00:15
27	Dolph Ziggler	Raw	14	Kane	00:21
28	Santino Marella	Raw	15	Kane	00:01
29	Jim Duggan	Raw	16	Big Show	02:50
30	The Big Show	SD	25	Orton	09:32
