Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	24-11	Joshua Thorpe	TKO (retirement)	Shamrock Promotions: Fight Night	3	2:54	St. Louis , Missouri, United States
Win	23-11	Edwin Aguilar	Submission (rear-naked choke)	Flawless FC 3: California Love	1	0:42	Inglewood, California , United States
Loss	22-11	Paul Daley	Decision (unanimous)	Ringside MMA 12: Daley vs. Fioravanti	3	5:00	Montreal, Quebec , Canada
Loss	22-10	Joe Doerksen	Decision (unanimous)	Score Fighting Series 1: Mein vs. Zaromskis	3	5:00	Mississauga, Ontario
Loss	22-9	Andrei Semenov	Decision (unanimous)	M-1 Challenge XXV: Zavurov vs. Enomoto	3	5:00	St. Petersburg, Russia
Win	22–8	Mike Geurin	Decision (unanimous)	Raging Wolf XI: Mayhem in the Mist	3	5:00	Niagara Falls, New York , United States
Win	21–8	Mitch Whitesel	Submission (punches)	WEF 45	2	4:41	Jacksonville, Florida , United States
Win	20–8	Arthur Guseinov	Submission (rear-naked choke)	M-1 Challenge XXII: Narkun vs. Vasilevsky	4	0:33	Moscow, Russia
Win	19–8	Johnny Buck	Decision (unanimous)	Panama City Beach MMA: Brawl on the Beach	3	5:00	Panama City, Florida , United States
Win	18–8	Woody Weatherby	TKO (punches)	M-1 Selection 2010: The Americas Finals	1	2:51	Atlantic City, New Jersey , United States
Loss	17–8	John Kolosci	Submission (rear-naked choke)	Hoosier Fight Club	1	0:42	Gary, Indiana , United States
Loss	17–7	Pete Spratt	TKO (punches)	MFC 25	3	4:02	Edmonton, Alberta , Canada
Win	17–6	Shane Primm	Decision (unanimous)	Raging Wolf VI: Mayhem in the Mist	3	5:00	Niagara Falls, New York , United States
Win	16–6	Matt Lagler	Decision (unanimous)	C3: Slammin Jammin Weekend 3	3	5:00	Red Rock, Oklahoma , United States
Loss	15–6	John Alessio	KO (punches)	MFC 22	3	1:34	Edmonton, Alberta, Canada
Win	15–5	Fabricio Nascimento	KO (punches)	Xtreme MMA Championships 1	1	4:44	Rome, Italy
Loss	14–5	Anthony Johnson	TKO (punches)	UFC Fight Night: Lauzon vs. Stephens	1	4:39	Tampa, Florida , United States
Win	14–4	Brodie Farber	Decision (unanimous)	UFC: Fight for the Troops	3	5:00	Fayetteville, North Carolina , United States
Loss	13–4	Diego Sanchez	TKO (knee and punches)	The Ultimate Fighter 7 Finale	3	4:07	Las Vegas, Nevada , United States
Win	13–3	Luke Cummo	Decision (unanimous)	UFC 82	3	5:00	Columbus, Ohio , United States
Win	12–3	Frank Camacho	TKO	PXC 12: Settling the Score	1	N/A	Mangilao, Guam
Loss	11–3	Forrest Petz	Decision (unanimous)	UFC Fight Night 10	3	5:00	Hollywood, Florida , United States
Loss	11–2	Jon Fitch	Submission (rear naked choke)	UFC 68	2	3:05	Columbus, Ohio , United States
Win	11–1	Dave Menne	TKO (punches)	UFC Fight Night 7	1	4:44	San Diego, California , United States
Win	10–1	Hidetaka Monma	TKO (strikes)	GCM: D.O.G. 7	1	2:31	Tokyo , Japan
Win	9–1	Solomon Hutcherson	KO (punch)	The Ultimate Fighter 3	1	4:15	Las Vegas, Nevada , United States
Win	8–1	Stephan Potvin	Decision (unanimous)	APEX: Evolution	3	5:00	Gatineau, Quebec , Canada
Loss	7–1	Chris Leben	Decision (unanimous)	Ultimate Fight Night 4	3	5:00	Las Vegas, Nevada , United States
Win	7–0	Sean Sallee	Submission (punches)	Absolute Fighting Championships 15	1	1:32	Fort Lauderdale, Florida , United States
Win	6–0	Tim Stout	Decision (unanimous)	Full Throttle 4	3	5:00	Duluth, Georgia , United States
Win	5–0	George Allen	TKO	Real Fighting Championships 2	3	3:39	Tampa, Florida , United States
Win	4–0	Hans Canko	TKO	North American Combat Challenge	2	2:09	Florida , United States
Win	3–0	Manuel Garcia	TKO (corner stoppage)	Absolute Fighting Championships 12	1	5:00	Fort Lauderdale, Florida , United States
Win	2–0	Thiago Goncalves	Decision	Absolute Fighting Championships 11	2	5:00	Fort Lauderdale, Florida , United States
Win	1–0	Kiel Reid	Submission	Obaktagon Challenge 1	1	3:14	Jacksonville, Florida , United States
