Rank	Title	Studio	Director	Gross
1.	Rain Man	United Artists	Barry Levinson	$172,825,435
2.	Who Framed Roger Rabbit	Touchstone / Amblin	Robert Zemeckis	$156,452,370
3.	Coming to America	Paramount	John Landis	$128,152,301
4.	Big	20th Century Fox / Gracie	Penny Marshall	$114,968,774
5.	Twins	Universal	Ivan Reitman	$111,938,388
6.	"Crocodile" Dundee II	Paramount	John Cornell	$109,306,210
7.	Die Hard	20th Century Fox / Silver	John McTiernan	$83,008,852
8.	The Naked Gun: From the Files of Police Squad!	Paramount	David Zucker	$78,756,177
9.	Cocktail	Touchstone	Roger Donaldson	$78,222,753
10.	Beetlejuice	Geffen / Warner Bros.	Tim Burton	$73,707,461
11.	Working Girl	20th Century Fox	Mike Nichols	$63,779,477
12.	A Fish Called Wanda	MGM	Charles Crichton	$62,493,712
13.	Scrooged	Paramount	Richard Donner	$60,328,558
14.	Willow	Lucasfilm / MGM	Ron Howard	$57,269,863
15.	Beaches	Touchstone	Garry Marshall	$57,041,866
16.	Rambo III	Tri-Star / Carolco	Peter MacDonald	$53,715,611
17.	Oliver & Company	Disney	George Scribner	$53,279,055
18.	Bull Durham	Orion	Ron Shelton	$50,888,729
19.	A Nightmare on Elm Street 4: The Dream Master	New Line	Renny Harlin	$49,369,899
20.	The Land Before Time	Universal / Amblin	Don Bluth	$48,092,846
