Team	Car(s)	-	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief	Rounds
Biagi-DenBeste Racing	Ford Mustang	98	Kevin Swindell (R)	Carroll Shelby Engines	Mike Curb	Jon Hanson	11
Creation-Cope Racing	Chevrolet Camaro	73	Derrike Cope	n/a	Derrike Cope	Jacob Richardson	4
Deware Racing Group	Ford Mustang	86	Kevin Lepage	Qello	Scott Deware	Larry Balsitis	3
Joe Gibbs Racing	Toyota Camry	18	Matt Kenseth	Reser's / GameStop	Joe Gibbs	Matt Lucas	14
JR Motorsports	Chevrolet Camaro	88	Dale Earnhardt, Jr.	TaxSlayer.com	Dale Earnhardt, Jr.	Ryan Pemberton	4
KH Motorsports	Ford Mustang	92	Dexter Stacey (R)	Maddie's Place	Kristin Hamelin	David Ingram	18
Make Motorsports	Chevrolet Silverado	50	Danny Efland	Defiant Whisky	Mark Beaver	Perry Mitchell	5
ML Motorsports	Chevrolet Impala	70	Johanna Long	Foretravel Motorcoach	Mary Louise Miller	Mark Gutekunst	21
NEMCO-Jay Robinson Racing	Toyota Camry	70	Tony Raines	n/a	Mary Louise Miller	Jay Robinson	15
R3 Motorsports	Chevrolet Camaro	23	Robert Richardson, Jr.	StalkIt	Robert Richardson	Tony Eury, Jr.	12
Richard Childress Racing	Chevrolet Camaro	21	Dakoda Armstrong	Winfield [ disambiguation needed ]/Mudd.com	Richard Childress	Scott Naset	9
Rick Ware Racing	Ford Mustang	15	Carl Long	Qolix	Rick Ware	Sterling Laughlin	18
Rick Ware Racing	Ford Mustang	23	Donnie Neuenberger	n/a	Robert Richardson	George Church	16
Roush Fenway Racing	Ford Mustang	16	Chris Buescher / Ryan Reed	American Diabetes Association	Jack Roush	Seth Barbour	11
Shepherd Racing Ventures	Dodge Challenger	89	Morgan Shepherd	Malamphy Electric	Morgan Shepherd	Mike Malamphy	15
Team SLR	Chevrolet Impala	8	Scott Lagasse, Jr. / Ryan Preece	HybridLight / Boy Scouts of America	Scott Lagasse	Brad Parrott	19
The Motorsports Group	Chevrolet Camaro	42	Josh Wise	Curtis Key Plumbing	Curtis Key	Mike Sroufe	25
The Motorsports Group	Chevrolet Camaro	46	J. J. Yeley	Curtis Key Plumbing	Curtis Key	David Jones	20
The Motorsports Group	Chevrolet Camaro	47	T. J. Bell	Curtis Key Plumbing	Curtis Key	Steve Maynard	5
Turner Scott Motorsports	Chevrolet Camaro	34	Jeb Burton	Arrowhead Cigarettes	Harry Scott, Jr.	Mike Greci	5
Vision Racing	Toyota Camry	17	Tanner Berryhill	Keller Williams Realty	Adrian Berryhill	Benny Gordon	6
Vision Racing	Toyota Camry	37	Matt DiBenedetto	NationalCashLenders.com	Tina Berryhill	Adrian Berryhill	8
