Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	RCD Mallorca	30	40	16	8	6	44	22	+22
2	Córdoba CF	30	39	18	3	9	52	24	+28
3	Real Jaén	30	37	17	3	10	54	37	+17
4	AD Plus Ultra	30	35	12	11	7	58	43	+15
5	Rayo Vallecano	30	33	15	3	12	47	40	+7
6	Levante UD	30	33	15	3	12	57	51	+6
7	Real Murcia	30	32	11	10	9	37	34	+3
8	Atlético Ceuta	30	31	13	5	12	41	36	+5
9	CD San Fernando	30	28	12	4	14	44	48	-4
10	CD Tenerife	30	28	11	6	13	41	48	-7
11	CD Mestalla	30	28	13	2	15	40	42	-2
12	CF Extremadura	30	27	10	7	13	50	49	+1
13	Recreativo de Huelva	30	25	9	7	14	41	58	-17
14	Cádiz CF	30	23	9	5	16	43	55	-12
15	CA Almería	30	23	7	9	14	24	57	-33
16	CD Badajoz	30	18	7	4	19	37	66	-29
