Season	Conf.	Conf. finish	Div.	Div. Finish	Head coach
1946–47	—	—	Eastern	5th	John Russell
1947–48	—	—	Eastern	3rd #	John Russell
1948–49	—	—	Eastern	5th	Alvin Julian
1949–50	—	—	Eastern	6th	Alvin Julian
1950–51	—	—	Eastern	2nd #	Red Auerbach
1951–52	—	—	Eastern	2nd #	Red Auerbach
1952–53	—	—	Eastern	3rd #	Red Auerbach
1953–54	—	—	Eastern	T-2nd #	Red Auerbach
1954–55	—	—	Eastern	3rd #	Red Auerbach
1955–56	—	—	Eastern	2nd #	Red Auerbach
1956–57	—	—	Eastern ^	1st ^	Red Auerbach
1957–58	—	—	Eastern ^	1st ^	Red Auerbach
1958–59	—	—	Eastern ^	1st ^	Red Auerbach
1959–60	—	—	Eastern ^	1st ^	Red Auerbach
1960–61	—	—	Eastern ^	1st ^	Red Auerbach
1961–62	—	—	Eastern ^	1st ^	Red Auerbach
1962–63	—	—	Eastern ^	1st ^	Red Auerbach
1963–64	—	—	Eastern ^	1st ^	Red Auerbach
1964–65	—	—	Eastern ^	1st ^	Red Auerbach
1965–66	—	—	Eastern	2nd #	Red Auerbach
1966–67	—	—	Eastern	2nd #	Bill Russell
1967–68	—	—	Eastern	2nd #	Bill Russell
1968–69	—	—	Eastern	4th #	Bill Russell
1969–70	—	—	Eastern	6th	Tom Heinsohn
1970–71	Eastern	5th	Atlantic	3rd	Tom Heinsohn
1971–72	Eastern	1st #	Atlantic ^	1st ^	Tom Heinsohn
1972–73	Eastern	1st #	Atlantic ^	1st ^	Tom Heinsohn
1973–74	Eastern *	1st *	Atlantic ^	1st ^	Tom Heinsohn
1974–75	Eastern	1st #	Atlantic ^	1st ^	Tom Heinsohn
1975–76	Eastern *	1st *	Atlantic ^	1st ^	Tom Heinsohn
1976–77	Eastern	4th #	Atlantic	2nd	Tom Heinsohn
1977–78	Eastern	8th	Atlantic	3rd	Tom Heinsohn Tom Sanders
1978–79	Eastern	10th	Atlantic	5th	Tom Sanders Dave Cowens
1979–80	Eastern	1st #	Atlantic ^	1st ^	Bill Fitch
1980–81	Eastern *	1st *	Atlantic ^	1st ^	Bill Fitch
1981–82	Eastern	1st #	Atlantic ^	1st ^	Bill Fitch
1982–83	Eastern	3rd #	Atlantic	2nd	Bill Fitch
1983–84	Eastern *	1st *	Atlantic ^	1st ^	K. C. Jones
1984–85	Eastern *	1st *	Atlantic ^	1st ^	K. C. Jones
1985–86	Eastern *	1st *	Atlantic ^	1st ^	K. C. Jones
1986–87	Eastern *	1st *	Atlantic ^	1st ^	K. C. Jones
1987–88	Eastern	1st #	Atlantic ^	1st ^	K. C. Jones
1988–89	Eastern	8th #	Atlantic	3rd	Jimmy Rodgers
1989–90	Eastern	4th #	Atlantic	2nd	Jimmy Rodgers
1990–91	Eastern	2nd #	Atlantic ^	1st ^	Chris Ford
1991–92	Eastern	2nd #	Atlantic ^	1st ^	Chris Ford
1992–93	Eastern	4th #	Atlantic	2nd	Chris Ford
1993–94	Eastern	10th	Atlantic	5th	Chris Ford
1994–95	Eastern	8th #	Atlantic	3rd	Chris Ford
1995–96	Eastern	11th	Atlantic	5th	M. L. Carr
1996–97	Eastern	15th	Atlantic	7th	M. L. Carr
1997–98	Eastern	12th	Atlantic	6th	Rick Pitino
1998–99	Eastern	12th	Atlantic	5th	Rick Pitino
1999–00	Eastern	10th	Atlantic	5th	Rick Pitino
2000–01	Eastern	9th	Atlantic	5th	Rick Pitino Jim O'Brien
2001–02	Eastern	3rd #	Atlantic	2nd	Jim O'Brien
2002–03	Eastern	6th #	Atlantic	3rd	Jim O'Brien
2003–04	Eastern	8th #	Atlantic	4th	Jim O'Brien John Carroll
2004–05	Eastern	3rd #	Atlantic ^	1st ^	Doc Rivers
2005–06	Eastern	11th	Atlantic	3rd	Doc Rivers
2006–07	Eastern	15th	Atlantic	5th	Doc Rivers
2007–08	Eastern *	1st *	Atlantic ^	1st ^	Doc Rivers
2008–09	Eastern	2nd #	Atlantic ^	1st ^	Doc Rivers
2009–10	Eastern *	4th *	Atlantic ^	1st ^	Doc Rivers
2010–11	Eastern	3rd #	Atlantic ^	1st ^	Doc Rivers
2011–12	Eastern	4th #	Atlantic ^	1st ^	Doc Rivers
2012–13	Eastern	7th #	Atlantic	3rd	Doc Rivers
