Goal	Date	Venue	Score	Result	Competition
1	18 November 1989	Stadium Municipal , Toulouse , France	2 – 0	2–0	1990 World Cup Qualification
2	21 January 1990	Kazma SC Stadium , Kuwait City , Kuwait	0 – 1	0–1	Friendly
3	20 February 1991	Parc des Princes , Paris , France	3 – 1	3–1	Euro '92 Qualification
4	14 August 1991	Stadion Miejski , Poznan , Poland	1 – 4	1–5	Friendly
5	17 February 1993	Ramat Gan Stadium , Ramat Gan , Israel	0 – 2	0–4	1994 World Cup Qualification
6	17 February 1993	Ramat Gan Stadium , Ramat Gan , Israel	0 – 3	0–4	1994 World Cup Qualification
7	8 September 1993	Ratina Stadion , Tampere , Finland	0 – 1	0–2	1994 World Cup Qualification
8	26 April 1995	Stade de la Beaujoire , Nantes , France	3 – 0	4–0	Euro '96 Qualification
9	1 June 1996	Gottlieb-Daimler-Stadion , Stuttgart , Germany	0 – 1	0–1	Friendly
10	18 June 1996	St James' Park , Newcastle , England	1 – 0	3–1	Euro 1996
11	9 October 1996	Parc des Princes , Paris , France	1 – 0	4–0	Friendly
12	25 February 1998	Stade Vélodrome , Marseille , France	1 – 1	3–3	Friendly
13	29 May 1998	Stade Mohamed V , Casablanca , Morocco	1 – 1	2–2	Hassan II Trophy
14	28 June 1998	Stade Félix-Bollaert , Lens , France	1 – 0	1–0	1998 FIFA World Cup
15	26 April 2000	Stade de France , Saint-Denis , France	2 – 2	3–2	Friendly
16	11 June 2000	Jan Breydel Stadium , Bruges , Belgium	1 – 0	3–0	Euro 2000
