Rank	Heat	Name	Nationality	Time
1	3	Colin Jackson	Great Britain	13.31
2	2	Falk Balzer	Germany	13.47
3	4	Tony Jarrett	Great Britain	13.51
4	1	Mike Fenner	Germany	13.52
5	1	Jonathan Nsenga	Belgium	13.55
6	2	Artur Kohutek	Poland	13.58
7	4	Robin Korving	Netherlands	13.61
8	4	Staņislavs Olijars	Latvia	13.62
9	3	Florian Schwarthoff	Germany	13.64
10	2	Sebastien Thibault	France	13.65
11	1	Guntis Peders	Latvia	13.66
12	1	Vincent Clarico	France	13.68
13	3	Dan Philibert	France	13.78
14	2	Andrew Tulloch	Great Britain	13.81
15	1	Mauro Rossi	Italy	13.83
16	4	Sven Pieters	Belgium	13.85
17	1	Krzysztof Mehlich	Poland	13.89
18	3	Elmar Lichtenegger	Austria	13.96
19	4	Raphael Monachon	Switzerland	13.98
20	2	Peter Coghlan	Ireland	14.00
21	2	Ivan Bitzi	Switzerland	14.01
22	3	Igors Kazanovs	Latvia	14.04
23	3	Gaute Gundersen	Norway	14.17
24	4	Balázs Kovács	Hungary	14.22
25	4	Hipólito Montesinos	Spain	14.30
26	1	Sergey Khodanovich	Belarus	14.36
27	2	Dimitrios Siatounis	Greece	14.38
28	3	Zhivko Videnov	Bulgaria	14.44
29	4	Ronald Mehlich	Poland	14.44
30	1	Zoran Miljus	Croatia	14.48
