Driver	Constructor	Laps	Time/Retired	Grid
Eddie Irvine	Ferrari	71	1:28:12.438	3
David Coulthard	McLaren - Mercedes	71	+0.313	2
Mika Häkkinen	McLaren - Mercedes	71	+22.282	1
Heinz-Harald Frentzen	Jordan - Mugen-Honda	71	+52.803	4
Alexander Wurz	Benetton - Playlife	71	+1:06.358	10
Pedro Diniz	Sauber - Petronas	71	+1:10.933	16
Jarno Trulli	Prost - Peugeot	70	+1 Lap	13
Damon Hill	Jordan - Mugen-Honda	70	+1 Lap	11
Mika Salo	Ferrari	70	+1 Lap	7
Olivier Panis	Prost - Peugeot	70	+1 Lap	18
Marc Gené	Minardi - Ford	70	+1 Lap	22
Giancarlo Fisichella	Benetton - Playlife	68	Engine	12
Luca Badoer	Minardi - Ford	68	+3 Laps	19
Johnny Herbert	Stewart - Ford	67	+4 Laps	6
Ricardo Zonta	BAR - Supertec	63	Clutch	15
Rubens Barrichello	Stewart - Ford	55	Engine	5
Jean Alesi	Sauber - Petronas	49	Out of fuel	17
Pedro de la Rosa	Arrows	38	Spun off	21
Alessandro Zanardi	Williams - Supertec	35	Out of fuel	14
Jacques Villeneuve	BAR - Supertec	34	Halfshaft	9
Toranosuke Takagi	Arrows	25	Engine	20
Ralf Schumacher	Williams - Supertec	8	Spun off	8
