Game	Date	Team	Score	Record	Streak
36	January 3	Detroit Pistons	92–111	22–14	Loss 3
37	January 4	@ Atlanta Hawks	121–108	23–14	Win 1
38	January 6	@ Philadelphia 76ers	95–101	23–15	Loss 1
39	January 7	Los Angeles Lakers	115–107	24–15	Win 1
40	January 9	Boston Celtics (at Toronto, Canada)	100–108	24–16	Loss 1
41	January 10	Cleveland Cavaliers	104–100	25–16	Win 1
42	January 12	Boston Celtics	114–101	26–16	Win 2
43	January 17	Golden State Warriors	121–116	27–16	Win 3
44	January 18	@ Atlanta Hawks	129–115	28–16	Win 4
45	January 19	@ New Orleans Jazz	117–112	29–16	Win 5
46	January 21	Seattle SuperSonics	118–108	30–16	Win 6
47	January 24	New York Knicks	105–99	31–16	Win 7
48	January 26	@ Boston Celtics	93–107	31–17	Loss 1
49	January 30	@ Cleveland Cavaliers	97–91	32–17	Win 1
50	January 31	Atlanta Hawks	111–101	33–17	Win 2
