Block A	BLACK BUSHI	BUSHI	Kaz Hayashi	Kenny Omega	Minoru
BLACK BUSHI	X	BLACK BUSHI (4:15)	BLACK BUSHI (10:15)	Omega (11:07)	Minoru (10:26)
BUSHI	BLACK BUSHI (4:15)	X	BUSHI (11:51)	Omega (8:59)	BUSHI (15:08)
KAI	KAI (7:05)	KAI (10:30)	KAI (14:01)	Omega (18:07)	Draw (30:00)
Kaz Hayashi	BLACK BUSHI (10:15)	BUSHI (11:51)	X	Hayashi (13:43)	Hayashi (12:21)
Kenny Omega	Omega (11:07)	Omega (8:59)	Hayashi (13:43)	X	Minoru (16:52)
Minoru	Minoru (10:26)	BUSHI (15:08)	Hayashi (12:21)	Minoru (16:52)	X
Block B	Hikaru Sato	Hiroshi Yamato	Koji Kanemoto	MAZADA	Shuji Kondo
Hikaru Sato	X	Yamato (13:39)	Kanemoto (10:32)	Sato (9:42)	Kondo (9:30)
Hiroshi Yamato	Yamato (13:39)	X	Kanemoto (9:31)	Yamato (12:46)	Kondo (10:55)
Jimmy Yang	Sato (8:32)	Yang (9:43)	Yang (11:45)	Yang (7:27)	Kondo (7:58)
Koji Kanemoto	Kanemoto (10:32)	Kanemoto (9:31)	X	Kanemoto (10:37)	Kanemoto (13:28)
MAZADA	Sato (9:42)	Yamato (12:46)	Kanemoto (10:37)	X	MAZADA (2:11)
Shuji Kondo	Kondo (9:30)	Kondo (10:55)	Kanemoto (13:28)	MAZADA (2:11)	X
