Member	Party	Electorate	State	First elected
Percy Abbott	Nationalist	New England	NSW	1913
Frank Anstey	Labor	Bourke	Vic	1910
Hon William Archibald	Nationalist	Hindmarsh	SA	1910
Llewellyn Atkinson	Nationalist	Wilmot	Tas	1906
Hon Frederick Bamford	Nationalist	Herbert	Qld	1901
James Bayley	Nationalist	Oxley	Qld	1917
Hon Sir Robert Best	Nationalist	Kooyong	Vic	1910 (by-election)
Arthur Blakeley	Labor	Darling	NSW	1917
James Boyd	Nationalist	Henty	Vic	1913
Frank Brennan	Labor	Batman	Vic	1911 (by-election)
Reginald Burchell	Nationalist	Fremantle	WA	1913
James Catts	Labor	Cook	NSW	1906
Hon John Chanter	Nationalist	Riverina	NSW	1914
Hon Austin Chapman	Nationalist	Eden-Monaro	NSW	1901
Matthew Charlton	Labor	Hunter	NSW	1910
Michael Considine	Labor/Independent	Barrier	NSW	1917
Rt Hon Joseph Cook	Nationalist	Parramatta	NSW	1901
Edward Corser	Nationalist	Wide Bay	Qld	1915 (by-election)
Franc Falkiner	Nationalist	Hume	NSW	1917
James Fenton	Labor	Maribyrnong	Vic	1910
William Finlayson	Labor	Brisbane	Qld	1910
William Fleming	Nationalist	Robertson	NSW	1913
Rt Hon Sir John Forrest	Nationalist	Swan	WA	1901
Richard Foster	Nationalist	Wakefield	SA	1909 (by-election)
Hon James Fowler	Nationalist	Perth	WA	1901
Hon Patrick Glynn	Nationalist	Angas	SA	1901
Henry Gregory	Nationalist	Dampier	WA	1913
Hon Littleton Groom	Nationalist	Darling Downs	Qld	1901 (by-election)
Edward Heitmann	Nationalist	Kalgoorlie	WA	1917
Hon William Higgs	Labor	Capricornia	Qld	1910
Charles Howroyd	Nationalist	Darwin	Tas	1917
Rt Hon Billy Hughes	Nationalist	Bendigo	Vic	1917
Hon Sir William Irvine	Nationalist	Flinders	Vic	1906
Hon Jens Jensen	Nationalist/Independent	Bass	Tas	1910
Elliot Johnson	Nationalist	Lang	NSW	1903
Hon Willie Kelly	Nationalist	Wentworth	NSW	1903
Hon William Laird Smith	Nationalist	Denison	Tas	1910
Hector Lamond	Nationalist	Illawarra	NSW	1917
John Leckie	Nationalist	Indi	Vic	1917
John Lister	Nationalist	Corio	Vic	1917
John Livingston	Nationalist	Barker	SA	1906
John Lynch	Nationalist	Werriwa	NSW	1914
Hon Charles McDonald	Labor	Kennedy	Qld	1901
Charles McGrath	Labor	Ballarat	Vic	1913
William McWilliams	Nationalist	Franklin	Tas	1903
George Mackay	Nationalist	Lilley	Qld	1917
William Mahony	Labor	Dalley	NSW	1915 (by-election)
Dr William Maloney	Labor	Melbourne	Vic	1904 (by-election)
Hon Chester Manifold	Nationalist	Corangamite	Vic	1913
Walter Massy-Greene	Nationalist	Richmond	NSW	1910
James Mathews	Labor	Melbourne Ports	Vic	1906
George Maxwell	Nationalist	Fawkner	Vic	1917
Samuel Nicholls	Labor	Macquarie	NSW	1917
Richard Orchard	Nationalist	Nepean	NSW	1913
Hon Jim Page	Labor	Maranoa	Qld	1901
Albert Palmer	Nationalist	Echuca	Vic	1906
Henry Pigott	Nationalist	Calare	NSW	1913
Hon Alexander Poynton	Nationalist	Grey	SA	1901
Edward Riley	Labor	South Sydney	NSW	1910
Arthur Rodgers	Nationalist	Wannon	Vic	1913
Granville Ryrie	Nationalist	North Sydney	NSW	1911 (by-election)
Hon Dr Carty Salmon	Nationalist	Grampians	Vic	1915 (by-election)
Sydney Sampson	Nationalist	Wimmera	Vic	1906
Hugh Sinclair	Nationalist	Moreton	Qld	1906
Hon Bruce Smith	Nationalist/Independent	Parkes	NSW	1901
William Story	Nationalist	Boothby	SA	1917
John Thomson	Nationalist	Cowper	NSW	1906
Hon Frank Tudor	Labor	Yarra	Vic	1901
Con Wallace	Labor	West Sydney	NSW	1917
Hon David Watkins	Labor	Newcastle	NSW	1901
Hon William Watt	Nationalist	Balaclava	Vic	1914
Hon William Webster	Nationalist	Gwydir	NSW	1903
John West	Labor	East Sydney	NSW	1910
George Wise	Nationalist	Gippsland	Vic	1914
Edwin Yates	Labor	Adelaide	SA	1914 (by-election)
